arch,activation,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total,grad_norm
resnet18,gelu,cifar10,0,0,0.35450721153846154,1.480047093963623,0.4541,0.0996057350657239,65.5679886341095,0.9835459169219521,0.9701681137084961,46.2835059446447,3.274687984410454,17,17,1.293155796560005
resnet18,gelu,cifar10,0,1,0.5400641025641025,1.3463205286026,0.5307,0.09842915805643156,18.409461975097656,0.9856517034418443,0.9785346984863281,51.115175134995404,3.820691199863658,17,17,2.1000155911507714
resnet18,gelu,cifar10,0,2,0.6503004807692307,0.9189883367538452,0.6782,0.09648882429441258,18.380911827087402,0.9870119796079748,0.9823145866394043,53.8682762594784,4.4077761313494515,17,17,1.855076381871762
resnet18,gelu,cifar10,0,3,0.7164663461538462,0.8985838645935058,0.7026,0.09381533400219319,18.38408088684082,0.9883759828174815,0.9828586578369141,55.12773132324219,5.073953193776748,17,17,1.5414395902457523
resnet18,gelu,cifar10,0,4,0.7654847756410257,0.714789273738861,0.7549,0.0904508497187474,18.653587579727173,0.9893810573746177,0.9828953742980957,55.68150441786822,6.0850081584032845,17,17,1.4767512142366959
resnet18,gelu,cifar10,0,5,0.793349358974359,0.6654071809768677,0.7731,0.0864484313710706,18.50479817390442,0.9902521441964542,0.9822816848754883,56.08728565889246,6.822968286626479,17,17,1.7739371649172182
resnet18,gelu,cifar10,0,6,0.8111578525641026,0.5960322336196899,0.797,0.0818711994874345,18.469855785369873,0.9911821449504179,0.9823479652404785,55.96009849099552,7.405660054262946,17,17,1.5782935954846493
resnet18,gelu,cifar10,0,7,0.8249399038461539,0.6154608273983002,0.7849,0.07679133974894983,18.369946002960205,0.9916735887527466,0.9823098182678223,56.5134064169491,8.52152138597825,17,17,1.8136911321523517
resnet18,gelu,cifar10,0,8,0.8375,0.48899245443344114,0.8296,0.07128896457825364,18.433176279067993,0.9921381754033706,0.9823036193847656,56.41750066420611,8.615887838251451,17,17,1.9305651275832636
resnet18,gelu,cifar10,0,9,0.8497195512820512,0.4899333095550537,0.8371,0.06545084971874737,18.361347198486328,0.9922855601591223,0.9818706512451172,56.32607291726505,8.737508170744952,17,17,2.1237386570129435
resnet18,gelu,cifar10,0,10,0.8577323717948718,0.4768699836730957,0.8376,0.05936906572928624,18.42361855506897,0.9924941904404584,0.9820165634155273,56.61652957691866,9.178316480973187,17,17,2.1690085460412214
resnet18,gelu,cifar10,0,11,0.8683493589743589,0.4452624731063843,0.8506,0.05313952597646568,18.394928455352783,0.9926177052890554,0.982323169708252,56.2575964086196,8.904210581498987,17,17,2.2104200068432815
resnet18,gelu,cifar10,0,12,0.8772836538461538,0.3991327451229095,0.8667,0.04686047402353434,18.38420557975769,0.9926991848384633,0.981966495513916,56.237812266630286,8.755011362188002,17,17,2.2107069724217796
resnet18,gelu,cifar10,0,13,0.88671875,0.3583189734458923,0.8779,0.04063093427071378,18.3659827709198,0.9927589612848619,0.9820742607116699,56.61746664608226,9.101300744449391,17,17,2.2207520026167353
resnet18,gelu,cifar10,0,14,0.8952524038461539,0.4125205620765686,0.8632,0.03454915028125265,18.45224666595459,0.992773010450251,0.9818181991577148,56.31242909150965,9.21924334413865,17,17,2.6904753662243235
resnet18,gelu,cifar10,0,15,0.9037660256410256,0.3327825441837311,0.8873,0.02871103542174637,18.287270069122314,0.9928711337201735,0.981724739074707,56.524479809929346,9.336576251422658,17,17,2.9766939907744243
resnet18,gelu,cifar10,0,16,0.9137019230769231,0.32371191759109497,0.8954,0.02320866025105016,18.23038601875305,0.9929110653260175,0.9816298484802246,56.315836289349726,8.883922801298255,17,17,3.4558983818835185
