layer,mean_abs_gamma,mean_abs_beta,activation,seed,epoch
stem_bn,0.8527377247810364,0.08779624104499817,relu,0,0
stages.0.bn1,0.8288780450820923,0.06071370095014572,relu,0,0
stages.0.bn2,0.814254105091095,0.04329783469438553,relu,0,0
stages.1.bn1,0.8259345293045044,0.038770243525505066,relu,0,0
stages.1.bn2,0.8083521127700806,0.032036978751420975,relu,0,0
stages.2.bn1,0.8256438374519348,0.013068156316876411,relu,0,0
stages.2.bn2,0.8197983503341675,0.020887235179543495,relu,0,0
stages.2.shortcut.1,0.8396334052085876,0.020887235179543495,relu,0,0
stages.3.bn1,0.8253845572471619,0.018848489969968796,relu,0,0
stages.3.bn2,0.8169575333595276,0.014076758176088333,relu,0,0
stages.4.bn1,0.825352132320404,0.013125288300216198,relu,0,0
stages.4.bn2,0.8229309320449829,0.017413880676031113,relu,0,0
stages.4.shortcut.1,0.8302438259124756,0.017413880676031113,relu,0,0
stages.5.bn1,0.8254071474075317,0.012843600474298,relu,0,0
stages.5.bn2,0.8229909539222717,0.011843699961900711,relu,0,0
stages.6.bn1,0.8254905343055725,0.007111513987183571,relu,0,0
stages.6.bn2,0.8060957193374634,0.06027347594499588,relu,0,0
stages.6.shortcut.1,0.8073790669441223,0.06027347594499588,relu,0,0
stages.7.bn1,0.8254858255386353,0.011720969341695309,relu,0,0
stages.7.bn2,0.7773640155792236,0.11885540187358856,relu,0,0
stem_bn,0.35038328170776367,0.1697656363248825,relu,0,6
stages.0.bn1,0.3911047875881195,0.15154147148132324,relu,0,6
stages.0.bn2,0.4087632894515991,0.12066565454006195,relu,0,6
stages.1.bn1,0.3050841987133026,0.08594929426908493,relu,0,6
stages.1.bn2,0.22756743431091309,0.06846128404140472,relu,0,6
stages.2.bn1,0.28223249316215515,0.08882357180118561,relu,0,6
stages.2.bn2,0.29105547070503235,0.06220949441194534,relu,0,6
stages.2.shortcut.1,0.3442125916481018,0.06220949441194534,relu,0,6
stages.3.bn1,0.26018595695495605,0.09989159554243088,relu,0,6
stages.3.bn2,0.22508594393730164,0.07631140947341919,relu,0,6
stages.4.bn1,0.2708466351032257,0.07925751060247421,relu,0,6
stages.4.bn2,0.32712557911872864,0.04290608689188957,relu,0,6
stages.4.shortcut.1,0.2549792528152466,0.04290608689188957,relu,0,6
stages.5.bn1,0.26546335220336914,0.06394760310649872,relu,0,6
stages.5.bn2,0.22887560725212097,0.04678235575556755,relu,0,6
stages.6.bn1,0.2679606080055237,0.03300384059548378,relu,0,6
stages.6.bn2,0.2583819627761841,0.06902613490819931,relu,0,6
stages.6.shortcut.1,0.27335482835769653,0.06902613490819931,relu,0,6
stages.7.bn1,0.269321084022522,0.055094458162784576,relu,0,6
stages.7.bn2,0.29515230655670166,0.07808360457420349,relu,0,6
stem_bn,0.2509286105632782,0.13897642493247986,relu,0,12
stages.0.bn1,0.32738742232322693,0.12187761813402176,relu,0,12
stages.0.bn2,0.34320390224456787,0.126071959733963,relu,0,12
stages.1.bn1,0.22521239519119263,0.10999612510204315,relu,0,12
stages.1.bn2,0.1824234426021576,0.07737559080123901,relu,0,12
stages.2.bn1,0.22192195057868958,0.0905008316040039,relu,0,12
stages.2.bn2,0.24694490432739258,0.06285342574119568,relu,0,12
stages.2.shortcut.1,0.23836871981620789,0.06285342574119568,relu,0,12
stages.3.bn1,0.18538710474967957,0.12687566876411438,relu,0,12
stages.3.bn2,0.15333546698093414,0.08266262710094452,relu,0,12
stages.4.bn1,0.19767868518829346,0.09211073070764542,relu,0,12
stages.4.bn2,0.23298969864845276,0.06151801720261574,relu,0,12
stages.4.shortcut.1,0.12997600436210632,0.06151801720261574,relu,0,12
stages.5.bn1,0.14923317730426788,0.09990912675857544,relu,0,12
stages.5.bn2,0.11550593376159668,0.06734439730644226,relu,0,12
stages.6.bn1,0.12906447052955627,0.052897535264492035,relu,0,12
stages.6.bn2,0.16023486852645874,0.0544578954577446,relu,0,12
stages.6.shortcut.1,0.1484774798154831,0.0544578954577446,relu,0,12
stages.7.bn1,0.13951636850833893,0.05771498382091522,relu,0,12
stages.7.bn2,0.252109169960022,0.021138165146112442,relu,0,12
stem_bn,0.21643845736980438,0.12158450484275818,relu,0,18
stages.0.bn1,0.28378167748451233,0.1020517572760582,relu,0,18
stages.0.bn2,0.3022175431251526,0.1093745008111,relu,0,18
stages.1.bn1,0.207554429769516,0.10099023580551147,relu,0,18
stages.1.bn2,0.1593896895647049,0.07378289103507996,relu,0,18
stages.2.bn1,0.19907650351524353,0.0830453485250473,relu,0,18
stages.2.bn2,0.2254917323589325,0.06084250286221504,relu,0,18
stages.2.shortcut.1,0.19782698154449463,0.06084250286221504,relu,0,18
stages.3.bn1,0.1725364625453949,0.128414124250412,relu,0,18
stages.3.bn2,0.14235065877437592,0.083097442984581,relu,0,18
stages.4.bn1,0.17902293801307678,0.09452962130308151,relu,0,18
stages.4.bn2,0.2097664624452591,0.06821522116661072,relu,0,18
stages.4.shortcut.1,0.09830597788095474,0.06821522116661072,relu,0,18
stages.5.bn1,0.1371137648820877,0.10876189917325974,relu,0,18
stages.5.bn2,0.11037593334913254,0.0669516772031784,relu,0,18
stages.6.bn1,0.10722888261079788,0.05156056210398674,relu,0,18
stages.6.bn2,0.14669086039066315,0.045573897659778595,relu,0,18
stages.6.shortcut.1,0.11567695438861847,0.045573897659778595,relu,0,18
stages.7.bn1,0.1146755963563919,0.05280571058392525,relu,0,18
stages.7.bn2,0.2600599527359009,0.03822968900203705,relu,0,18
stem_bn,0.20429189503192902,0.11535988748073578,relu,0,24
stages.0.bn1,0.2720218300819397,0.09512791037559509,relu,0,24
stages.0.bn2,0.2865391969680786,0.10185404866933823,relu,0,24
stages.1.bn1,0.19729137420654297,0.09645529091358185,relu,0,24
stages.1.bn2,0.1572059690952301,0.06894534826278687,relu,0,24
stages.2.bn1,0.19056475162506104,0.0796835720539093,relu,0,24
stages.2.bn2,0.21493278443813324,0.0595196969807148,relu,0,24
stages.2.shortcut.1,0.1832999736070633,0.0595196969807148,relu,0,24
stages.3.bn1,0.16420234739780426,0.12545791268348694,relu,0,24
stages.3.bn2,0.1411181092262268,0.08116620779037476,relu,0,24
stages.4.bn1,0.17155855894088745,0.09026091545820236,relu,0,24
stages.4.bn2,0.19628384709358215,0.06993816792964935,relu,0,24
stages.4.shortcut.1,0.08569411933422089,0.06993816792964935,relu,0,24
stages.5.bn1,0.13015827536582947,0.1094570904970169,relu,0,24
stages.5.bn2,0.11595171689987183,0.06567966192960739,relu,0,24
stages.6.bn1,0.10169904679059982,0.051211290061473846,relu,0,24
stages.6.bn2,0.1464247703552246,0.04223671555519104,relu,0,24
stages.6.shortcut.1,0.10810808837413788,0.04223671555519104,relu,0,24
stages.7.bn1,0.10803604125976562,0.051865458488464355,relu,0,24
stages.7.bn2,0.26696914434432983,0.04676513746380806,relu,0,24
stem_bn,0.8516818284988403,0.15724393725395203,relu,1,0
stages.0.bn1,0.828072190284729,0.07677070051431656,relu,1,0
stages.0.bn2,0.819011926651001,0.06300260126590729,relu,1,0
stages.1.bn1,0.8255993127822876,0.041737742722034454,relu,1,0
stages.1.bn2,0.8035026788711548,0.035120412707328796,relu,1,0
stages.2.bn1,0.8254567980766296,0.013431631028652191,relu,1,0
stages.2.bn2,0.8229162693023682,0.026211975142359734,relu,1,0
stages.2.shortcut.1,0.836400032043457,0.026211975142359734,relu,1,0
stages.3.bn1,0.8251184225082397,0.02320893108844757,relu,1,0
stages.3.bn2,0.8162899017333984,0.022429663687944412,relu,1,0
stages.4.bn1,0.8252906799316406,0.015671811997890472,relu,1,0
stages.4.bn2,0.8239412903785706,0.01801769994199276,relu,1,0
stages.4.shortcut.1,0.8256949186325073,0.01801769994199276,relu,1,0
stages.5.bn1,0.8252100944519043,0.018489975482225418,relu,1,0
stages.5.bn2,0.8264325261116028,0.013832921162247658,relu,1,0
stages.6.bn1,0.8254714012145996,0.009905222803354263,relu,1,0
stages.6.bn2,0.8021200895309448,0.05443566292524338,relu,1,0
stages.6.shortcut.1,0.8023216724395752,0.05443566292524338,relu,1,0
stages.7.bn1,0.825401246547699,0.013113602995872498,relu,1,0
stages.7.bn2,0.7763299942016602,0.10378864407539368,relu,1,0
stem_bn,0.4108322858810425,0.1525009274482727,relu,1,6
stages.0.bn1,0.32324862480163574,0.10763852298259735,relu,1,6
stages.0.bn2,0.2907183766365051,0.08758988976478577,relu,1,6
stages.1.bn1,0.27966004610061646,0.09674281626939774,relu,1,6
stages.1.bn2,0.21500593423843384,0.0678231343626976,relu,1,6
stages.2.bn1,0.2671540379524231,0.08632323145866394,relu,1,6
stages.2.bn2,0.3021879196166992,0.05861605703830719,relu,1,6
stages.2.shortcut.1,0.3356509208679199,0.05861605703830719,relu,1,6
stages.3.bn1,0.2660991847515106,0.108339324593544,relu,1,6
stages.3.bn2,0.21965937316417694,0.07353207468986511,relu,1,6
stages.4.bn1,0.2687223553657532,0.08902520686388016,relu,1,6
stages.4.bn2,0.3161291480064392,0.06609442830085754,relu,1,6
stages.4.shortcut.1,0.2596140503883362,0.06609442830085754,relu,1,6
stages.5.bn1,0.2630736231803894,0.08653737604618073,relu,1,6
stages.5.bn2,0.2324250042438507,0.06255218386650085,relu,1,6
stages.6.bn1,0.26706820726394653,0.04139178991317749,relu,1,6
stages.6.bn2,0.25332528352737427,0.07341049611568451,relu,1,6
stages.6.shortcut.1,0.26779788732528687,0.07341049611568451,relu,1,6
stages.7.bn1,0.2689029574394226,0.05243319272994995,relu,1,6
stages.7.bn2,0.2884591817855835,0.0782380998134613,relu,1,6
stem_bn,0.26354995369911194,0.13621412217617035,relu,1,12
stages.0.bn1,0.23384831845760345,0.09080976992845535,relu,1,12
stages.0.bn2,0.21003898978233337,0.09261453151702881,relu,1,12
stages.1.bn1,0.20722520351409912,0.08911193162202835,relu,1,12
stages.1.bn2,0.17859548330307007,0.058093372732400894,relu,1,12
stages.2.bn1,0.2102506160736084,0.07432365417480469,relu,1,12
stages.2.bn2,0.2517710328102112,0.05859353393316269,relu,1,12
stages.2.shortcut.1,0.2241746187210083,0.05859353393316269,relu,1,12
stages.3.bn1,0.21054159104824066,0.1266431361436844,relu,1,12
stages.3.bn2,0.1750202178955078,0.07440942525863647,relu,1,12
stages.4.bn1,0.19848313927650452,0.09816963970661163,relu,1,12
stages.4.bn2,0.23444253206253052,0.07823558896780014,relu,1,12
stages.4.shortcut.1,0.13907216489315033,0.07823558896780014,relu,1,12
stages.5.bn1,0.17223507165908813,0.11642444133758545,relu,1,12
stages.5.bn2,0.13770288228988647,0.07651730626821518,relu,1,12
stages.6.bn1,0.13487261533737183,0.06033114343881607,relu,1,12
stages.6.bn2,0.17007434368133545,0.051888830959796906,relu,1,12
stages.6.shortcut.1,0.1434006243944168,0.051888830959796906,relu,1,12
stages.7.bn1,0.13882000744342804,0.05492014065384865,relu,1,12
stages.7.bn2,0.2491975724697113,0.02133442834019661,relu,1,12
stem_bn,0.22077040374279022,0.11655102670192719,relu,1,18
stages.0.bn1,0.20248770713806152,0.08058999478816986,relu,1,18
stages.0.bn2,0.18657875061035156,0.07700188457965851,relu,1,18
stages.1.bn1,0.18257586658000946,0.08085085451602936,relu,1,18
stages.1.bn2,0.15356910228729248,0.0488552451133728,relu,1,18
stages.2.bn1,0.19266751408576965,0.06505414843559265,relu,1,18
stages.2.bn2,0.2224564254283905,0.05511645972728729,relu,1,18
stages.2.shortcut.1,0.18422043323516846,0.05511645972728729,relu,1,18
stages.3.bn1,0.1909416764974594,0.126929372549057,relu,1,18
stages.3.bn2,0.16622352600097656,0.07553687691688538,relu,1,18
stages.4.bn1,0.1814456582069397,0.09663830697536469,relu,1,18
stages.4.bn2,0.21274280548095703,0.08027459681034088,relu,1,18
stages.4.shortcut.1,0.109119713306427,0.08027459681034088,relu,1,18
stages.5.bn1,0.1570751965045929,0.12737515568733215,relu,1,18
stages.5.bn2,0.1319686770439148,0.07912643253803253,relu,1,18
stages.6.bn1,0.11441303044557571,0.05922963097691536,relu,1,18
stages.6.bn2,0.15211912989616394,0.044988952577114105,relu,1,18
stages.6.shortcut.1,0.11230767518281937,0.044988952577114105,relu,1,18
stages.7.bn1,0.11345961689949036,0.05212849751114845,relu,1,18
stages.7.bn2,0.25825920701026917,0.044140346348285675,relu,1,18
stem_bn,0.20890410244464874,0.1153874397277832,relu,1,24
stages.0.bn1,0.19434234499931335,0.07794114947319031,relu,1,24
stages.0.bn2,0.17887288331985474,0.07300008833408356,relu,1,24
stages.1.bn1,0.17465552687644958,0.07718349993228912,relu,1,24
stages.1.bn2,0.148147314786911,0.04673308879137039,relu,1,24
stages.2.bn1,0.1835746318101883,0.06284257024526596,relu,1,24
stages.2.bn2,0.20978811383247375,0.0527181401848793,relu,1,24
stages.2.shortcut.1,0.17344731092453003,0.0527181401848793,relu,1,24
stages.3.bn1,0.18112382292747498,0.12519153952598572,relu,1,24
stages.3.bn2,0.16116280853748322,0.07267370820045471,relu,1,24
stages.4.bn1,0.17232829332351685,0.09377677738666534,relu,1,24
stages.4.bn2,0.19862522184848785,0.08066719025373459,relu,1,24
stages.4.shortcut.1,0.09435814619064331,0.08066719025373459,relu,1,24
stages.5.bn1,0.14758694171905518,0.12823043763637543,relu,1,24
stages.5.bn2,0.13544371724128723,0.07686543464660645,relu,1,24
stages.6.bn1,0.10780149698257446,0.059262439608573914,relu,1,24
stages.6.bn2,0.15080007910728455,0.04164846986532211,relu,1,24
stages.6.shortcut.1,0.10490534454584122,0.04164846986532211,relu,1,24
stages.7.bn1,0.10725830495357513,0.05064842849969864,relu,1,24
stages.7.bn2,0.26608994603157043,0.05303620919585228,relu,1,24
stem_bn,0.8406161069869995,0.08994850516319275,relu,2,0
stages.0.bn1,0.8252967596054077,0.06532904505729675,relu,2,0
stages.0.bn2,0.8358263969421387,0.05098453536629677,relu,2,0
stages.1.bn1,0.8253957629203796,0.032391712069511414,relu,2,0
stages.1.bn2,0.7963206768035889,0.03249749541282654,relu,2,0
stages.2.bn1,0.8255099058151245,0.02183937281370163,relu,2,0
stages.2.bn2,0.8274447917938232,0.04035473242402077,relu,2,0
stages.2.shortcut.1,0.8232777714729309,0.04035473242402077,relu,2,0
stages.3.bn1,0.8244755268096924,0.04453285411000252,relu,2,0
stages.3.bn2,0.8240064382553101,0.0344218984246254,relu,2,0
stages.4.bn1,0.8252331018447876,0.023184727877378464,relu,2,0
stages.4.bn2,0.8189613819122314,0.03013756312429905,relu,2,0
stages.4.shortcut.1,0.8249112367630005,0.03013756312429905,relu,2,0
stages.5.bn1,0.8252654075622559,0.022347334772348404,relu,2,0
stages.5.bn2,0.8310297131538391,0.022111067548394203,relu,2,0
stages.6.bn1,0.8253584504127502,0.01617632433772087,relu,2,0
stages.6.bn2,0.7895626425743103,0.07809072732925415,relu,2,0
stages.6.shortcut.1,0.7934067249298096,0.07809072732925415,relu,2,0
stages.7.bn1,0.8252934813499451,0.022061821073293686,relu,2,0
stages.7.bn2,0.7210642099380493,0.12545642256736755,relu,2,0
stem_bn,0.3522080183029175,0.13591094315052032,relu,2,6
stages.0.bn1,0.4048610031604767,0.151130810379982,relu,2,6
stages.0.bn2,0.39301133155822754,0.11477751284837723,relu,2,6
stages.1.bn1,0.27141258120536804,0.11510080099105835,relu,2,6
stages.1.bn2,0.1747162938117981,0.06823834776878357,relu,2,6
stages.2.bn1,0.27437761425971985,0.03959072381258011,relu,2,6
stages.2.bn2,0.2491530179977417,0.05184606835246086,relu,2,6
stages.2.shortcut.1,0.36340463161468506,0.05184606835246086,relu,2,6
