layer,mean_abs_gamma,mean_abs_beta,activation,optimizer,seed,epoch
stem_bn,1.0022954940795898,0.03508736193180084,relu,adamw,0,0
stages.0.bn1,1.0002843141555786,0.02658580243587494,relu,adamw,0,0
stages.0.bn2,1.0020396709442139,0.01780012436211109,relu,adamw,0,0
stages.1.bn1,1.0005528926849365,0.019560161978006363,relu,adamw,0,0
stages.1.bn2,0.9863195419311523,0.01486659049987793,relu,adamw,0,0
stages.2.bn1,1.0000531673431396,0.01783769205212593,relu,adamw,0,0
stages.2.bn2,0.9951729774475098,0.014597659930586815,relu,adamw,0,0
stages.2.shortcut.1,1.0165772438049316,0.014597659930586815,relu,adamw,0,0
stages.3.bn1,0.9998646378517151,0.018452882766723633,relu,adamw,0,0
stages.3.bn2,0.9818898439407349,0.016327474266290665,relu,adamw,0,0
stages.4.bn1,0.9996182918548584,0.014577630907297134,relu,adamw,0,0
stages.4.bn2,1.0027058124542236,0.011695293709635735,relu,adamw,0,0
stages.4.shortcut.1,1.0220811367034912,0.011695293709635735,relu,adamw,0,0
stages.5.bn1,1.0004570484161377,0.012311193160712719,relu,adamw,0,0
stages.5.bn2,0.9761443138122559,0.01702960953116417,relu,adamw,0,0
stages.6.bn1,1.0004581212997437,0.01138017512857914,relu,adamw,0,0
stages.6.bn2,0.9874804019927979,0.014244262129068375,relu,adamw,0,0
stages.6.shortcut.1,0.9962892532348633,0.014244262129068375,relu,adamw,0,0
stages.7.bn1,0.998507022857666,0.014153478667140007,relu,adamw,0,0
stages.7.bn2,0.984378457069397,0.014851197600364685,relu,adamw,0,0
stem_bn,0.9690430164337158,0.11417654901742935,relu,adamw,0,6
stages.0.bn1,0.9870803356170654,0.11470039933919907,relu,adamw,0,6
stages.0.bn2,1.0248585939407349,0.07956186681985855,relu,adamw,0,6
stages.1.bn1,0.9804369211196899,0.16329257190227509,relu,adamw,0,6
stages.1.bn2,0.9811515808105469,0.0757593959569931,relu,adamw,0,6
stages.2.bn1,0.9884317517280579,0.12646391987800598,relu,adamw,0,6
stages.2.bn2,0.9994785785675049,0.10667698085308075,relu,adamw,0,6
stages.2.shortcut.1,1.0075721740722656,0.10667698085308075,relu,adamw,0,6
stages.3.bn1,0.9831706881523132,0.1690470427274704,relu,adamw,0,6
stages.3.bn2,0.9630140066146851,0.1382274329662323,relu,adamw,0,6
stages.4.bn1,0.9917362332344055,0.14557544887065887,relu,adamw,0,6
stages.4.bn2,1.0353608131408691,0.10740064084529877,relu,adamw,0,6
stages.4.shortcut.1,1.0094184875488281,0.10740064084529877,relu,adamw,0,6
stages.5.bn1,0.993349552154541,0.14263257384300232,relu,adamw,0,6
stages.5.bn2,0.9342097043991089,0.1342622935771942,relu,adamw,0,6
stages.6.bn1,0.9902786016464233,0.12692368030548096,relu,adamw,0,6
stages.6.bn2,0.9931217432022095,0.06028815731406212,relu,adamw,0,6
stages.6.shortcut.1,0.9918980598449707,0.06028815731406212,relu,adamw,0,6
stages.7.bn1,0.9882636070251465,0.06931610405445099,relu,adamw,0,6
stages.7.bn2,0.9433208107948303,0.06344333291053772,relu,adamw,0,6
stem_bn,0.9497725367546082,0.1417236626148224,relu,adamw,0,12
stages.0.bn1,0.9805970191955566,0.1398860514163971,relu,adamw,0,12
stages.0.bn2,1.028235912322998,0.10621951520442963,relu,adamw,0,12
stages.1.bn1,0.9665789604187012,0.2186732292175293,relu,adamw,0,12
stages.1.bn2,0.9877587556838989,0.09649908542633057,relu,adamw,0,12
