alpha,seed,kernel_name,curv_mean,curv_std,curv_min,curv_max,curv_frac_negative,curv_range,loss_final,output_iou_final
1.0,0,sobel_x,4081.92603107788,168.42372221194896,3720.7647139325672,4443.595088986285,0.0,722.830375053718,158.54492980261512,1.0
1.0,1,sobel_x,4109.255321151769,167.17400470081844,3740.6327959956798,4510.548894728572,0.0,769.9160987328924,158.54486439484944,1.0
1.0,2,sobel_x,4070.5321700703703,141.4716552006182,3778.5515876294085,4449.082532119064,0.0,670.5309444896557,158.54464282894565,1.0
1.0,3,sobel_x,4135.19139910458,173.83554554032924,3759.4774105400575,4613.307167915082,0.0,853.8297573750242,158.54459677317973,1.0
1.0,4,sobel_x,4088.8066854762424,193.834514183519,3614.246565149415,4562.6544280708,0.0,948.4078629213855,158.54402225961672,1.0
1.0,5,sobel_x,4082.485304189258,159.42967916340083,3721.0524618842555,4450.906202777105,0.0,729.8537408928496,158.54562850214052,1.0
1.0,6,sobel_x,4088.2195128820817,200.64306211685715,3591.221980826731,4665.650484469097,0.0,1074.4285036423662,158.54508591216876,1.0
1.0,7,sobel_x,4087.659724218895,145.42264732541128,3808.243173267556,4437.888224970266,0.0,629.6450517027097,158.54556248109475,1.0
1.5,0,sobel_x,4951.942139914915,201.0737464564191,4520.06778070313,5384.601787952192,0.0,864.5340072490626,121.53143689182463,1.0
1.5,1,sobel_x,4986.850239284025,202.14988581912178,4540.757919798466,5470.318746020553,0.0,929.5608262220867,121.5315036368822,1.0
1.5,2,sobel_x,4940.4880422779715,171.09867513941728,4590.607749193509,5402.131809574939,0.0,811.52406038143,121.53077765684742,1.0
1.5,3,sobel_x,5017.324079257198,211.1966763131525,4551.752829769384,5608.730880240387,0.0,1056.9780504710025,121.53062006094395,1.0
1.5,4,sobel_x,4961.381880265491,234.05885898534981,4389.720095417715,5534.216551239979,0.0,1144.4964558222637,121.52983566522778,1.0
1.5,5,sobel_x,4953.501938422515,192.50768330681277,4530.175174338069,5402.1183735670775,0.0,871.9431992290083,121.53309514515809,1.0
1.5,6,sobel_x,4960.474583734017,243.1036131035578,4347.896430559217,5651.2692518992935,0.0,1303.3728213400764,121.53195253076066,1.0
1.5,7,sobel_x,4959.249397753495,176.61081547696216,4626.565753085288,5384.209811964524,0.0,757.6440588792366,121.53281325593505,1.0
2.0,0,sobel_x,5176.174281049603,205.9728561842315,4733.385259498846,5621.782758595373,0.0,888.3974990965271,92.05265532260944,1.0
2.0,1,sobel_x,5215.09952608478,210.82216785625454,4750.5028202010635,5715.780701279982,0.0,965.2778810789187,92.05274742365816,1.0
2.0,2,sobel_x,5167.5207686903,178.50930265076872,4804.849091556207,5653.399240728163,0.0,848.550149171956,92.05089713997678,1.0
2.0,3,sobel_x,5245.499078918906,221.63369020504368,4745.240770475334,5879.443259942718,0.0,1134.202489467384,92.05127441085664,1.0
2.0,4,sobel_x,5187.457808338537,243.36619938638523,4595.510554793236,5783.400068509081,0.0,1187.8895137158452,92.05002639013247,1.0
2.0,5,sobel_x,5179.211923727204,200.47111328524866,4757.689700198853,5664.72036969401,0.0,907.0306694951569,92.05441732902179,1.0
2.0,6,sobel_x,5186.368231626421,253.92174540384067,4532.693728393156,5894.990644179643,0.0,1362.2969157864873,92.05339655851876,1.0
2.0,7,sobel_x,5184.3868289637385,185.2890967144472,4845.370946128469,5648.516530982306,0.0,803.1455848538371,92.05405936279338,1.0
3.0,0,sobel_x,4457.4488757382605,168.73587217904443,4088.453788334334,4825.1008578859,0.0,736.6470695515659,51.933484172980464,1.0
3.0,1,sobel_x,4496.988178352387,182.76958884726,4100.889060012491,4916.214710078748,0.0,815.3256500662565,51.936433991470196,1.0
3.0,2,sobel_x,4458.005520367555,154.98934043204076,4130.800136316282,4884.041667324368,0.0,753.241531008086,51.930012322014726,1.0
3.0,3,sobel_x,4519.2216451888835,195.32160700164835,4055.448046116794,5103.8303384416395,0.0,1048.3822923248454,51.93135333474609,1.0
3.0,4,sobel_x,4470.373912897211,207.61681274833285,3974.229522022199,4976.633002442554,0.0,1002.4034804203552,51.93238183427886,1.0
3.0,5,sobel_x,4463.199647794625,173.37904619694302,4143.103183828601,4928.428126362405,0.0,785.3249425338045,51.93799843731013,1.0
3.0,6,sobel_x,4469.744861694025,219.55224374910136,3873.659721264744,5047.48440325642,0.0,1173.8246819916758,51.93616590615425,1.0
3.0,7,sobel_x,4465.622882535788,163.48394419798845,4155.673876979904,4936.240326763653,0.0,780.5664497837488,51.93513555469676,1.0
5.0,0,sobel_x,2249.930541055889,80.80585846736416,2060.9400160012115,2417.3279612398346,0.0,356.38794523862316,17.16906983519589,1.0
5.0,1,sobel_x,2278.5340927612788,104.06833810012611,2086.2786952839942,2529.7053557196136,0.0,443.4266604356194,17.173058089531132,1.0
5.0,2,sobel_x,2259.7366927484454,88.80864263134977,2073.274770612699,2484.4387475795315,0.0,411.1639769668327,17.16018975389545,1.0
5.0,3,sobel_x,2282.588648008085,114.64602122103764,1998.3281505489003,2635.777427446584,0.0,637.4492768976838,17.160992977157385,1.0
5.0,4,sobel_x,2261.810489416405,107.40521788034187,2032.9798157021628,2507.7464972795838,0.0,474.76668157742097,17.17162741973194,1.0
5.0,5,sobel_x,2257.5099416566027,99.52902274241298,2041.4668292971783,2563.9181520134002,0.0,522.451322716222,17.174023170680705,1.0
5.0,6,sobel_x,2261.1879635671653,117.51166779943912,1911.3990926875601,2507.18757663293,0.0,595.7884839453698,17.170386530755746,1.0
5.0,7,sobel_x,2255.8154721576666,97.02465713974179,2031.4346154464147,2600.656357913067,0.0,569.2217424666524,17.169246991421943,1.0
7.0,0,sobel_x,1076.5824090556673,43.246443842477994,969.9688524804628,1179.5582893743274,0.0,209.58943689386456,6.36150620433737,1.0
7.0,1,sobel_x,1096.1738582968562,59.72687905711125,1002.2991146039218,1268.3124163528348,0.0,266.013301748913,6.367801738006272,1.0
7.0,2,sobel_x,1083.6781095510933,51.3324748863996,957.5292998267315,1193.2374691756565,0.0,235.70816934892503,6.3467582551100925,1.0
7.0,3,sobel_x,1092.336323434721,66.51375974284903,927.3558754570033,1289.3902009727399,0.0,362.03432551573655,6.35900108510161,1.0
7.0,4,sobel_x,1082.25178760919,55.92846565644718,963.9099837102094,1207.4982144394398,0.0,243.58823072923042,6.355203954792772,1.0
7.0,5,sobel_x,1079.7885438445103,58.00500831306403,951.0551650206978,1254.766021007825,0.0,303.71085598712716,6.349608586441594,1.0
7.0,6,sobel_x,1095.0671990332062,62.89323167564301,902.1612093071951,1212.3085735673556,0.0,310.14736426016043,6.369612400676065,1.0
7.0,7,sobel_x,1080.1343101355017,56.77414218122629,942.2924210369388,1291.6939190361632,0.0,349.4014979992244,6.356833186283202,1.0
10.0,0,sobel_x,382.1202048835515,16.31166827647873,344.9992158865989,421.6382041759559,0.0,76.63898828935697,3.5798648975386267,0.9961089494163424
10.0,1,sobel_x,503.5935440073303,40.985837118929,410.48316700198484,588.3151984491519,0.0,177.83203144716708,21.798847790489052,0.9621928166351607
10.0,2,sobel_x,387.6717763669231,20.016482329789888,340.7946036233511,426.38506980274826,0.0,85.59046617939714,6.507106634243453,0.9903288201160542
