arch,alpha,seed,layer_idx,n_layers,active_frac
resnet18,1.0,0,0,17,1.0
resnet18,1.0,0,1,17,1.0
resnet18,1.0,0,2,17,1.0
resnet18,1.0,0,3,17,1.0
resnet18,1.0,0,4,17,1.0
resnet18,1.0,0,5,17,1.0
resnet18,1.0,0,6,17,1.0
resnet18,1.0,0,7,17,1.0
resnet18,1.0,0,8,17,1.0
resnet18,1.0,0,9,17,1.0
resnet18,1.0,0,10,17,1.0
resnet18,1.0,0,11,17,1.0
resnet18,1.0,0,12,17,1.0
resnet18,1.0,0,13,17,1.0
resnet18,1.0,0,14,17,1.0
resnet18,1.0,0,15,17,1.0
resnet18,1.0,0,16,17,1.0
resnet18,2.0,0,0,17,0.9998588562011719
resnet18,2.0,0,1,17,1.0
resnet18,2.0,0,2,17,1.0
resnet18,2.0,0,3,17,1.0
resnet18,2.0,0,4,17,1.0
resnet18,2.0,0,5,17,1.0
resnet18,2.0,0,6,17,1.0
resnet18,2.0,0,7,17,1.0
resnet18,2.0,0,8,17,1.0
resnet18,2.0,0,9,17,1.0
resnet18,2.0,0,10,17,1.0
resnet18,2.0,0,11,17,1.0
resnet18,2.0,0,12,17,1.0
resnet18,2.0,0,13,17,1.0
resnet18,2.0,0,14,17,1.0
resnet18,2.0,0,15,17,1.0
resnet18,2.0,0,16,17,1.0
resnet18,5.0,0,0,17,0.9041824340820312
resnet18,5.0,0,1,17,0.9997978210449219
resnet18,5.0,0,2,17,1.0
resnet18,5.0,0,3,17,0.9998054504394531
resnet18,5.0,0,4,17,1.0
resnet18,5.0,0,5,17,0.999542236328125
resnet18,5.0,0,6,17,0.99932861328125
resnet18,5.0,0,7,17,1.0
resnet18,5.0,0,8,17,1.0
resnet18,5.0,0,9,17,1.0
resnet18,5.0,0,10,17,1.0
resnet18,5.0,0,11,17,1.0
resnet18,5.0,0,12,17,1.0
resnet18,5.0,0,13,17,1.0
resnet18,5.0,0,14,17,1.0
resnet18,5.0,0,15,17,1.0
resnet18,5.0,0,16,17,1.0
resnet18,10.0,0,0,17,0.6154747009277344
resnet18,10.0,0,1,17,0.8293914794921875
resnet18,10.0,0,2,17,0.9984169006347656
resnet18,10.0,0,3,17,0.7934494018554688
resnet18,10.0,0,4,17,0.9943466186523438
resnet18,10.0,0,5,17,0.8062286376953125
resnet18,10.0,0,6,17,0.79986572265625
resnet18,10.0,0,7,17,0.9870147705078125
resnet18,10.0,0,8,17,1.0
resnet18,10.0,0,9,17,0.98529052734375
resnet18,10.0,0,10,17,0.979949951171875
resnet18,10.0,0,11,17,1.0
resnet18,10.0,0,12,17,1.0
resnet18,10.0,0,13,17,1.0
resnet18,10.0,0,14,17,1.0
resnet18,10.0,0,15,17,1.0
resnet18,10.0,0,16,17,1.0
resnet18,20.0,0,0,17,0.35453033447265625
resnet18,20.0,0,1,17,0.321807861328125
resnet18,20.0,0,2,17,0.13437652587890625
resnet18,20.0,0,3,17,0.315216064453125
resnet18,20.0,0,4,17,0.093841552734375
resnet18,20.0,0,5,17,0.31981658935546875
resnet18,20.0,0,6,17,0.3392486572265625
resnet18,20.0,0,7,17,0.08071136474609375
resnet18,20.0,0,8,17,0.05471038818359375
resnet18,20.0,0,9,17,0.1015625
resnet18,20.0,0,10,17,0.0927276611328125
