alpha,depth,seed,active_frac
1.0,1,0,1.0
1.0,2,0,1.0
1.0,3,0,1.0
1.0,4,0,1.0
1.0,5,0,1.0
1.0,6,0,1.0
1.0,1,1,1.0
1.0,2,1,1.0
1.0,3,1,1.0
1.0,4,1,1.0
1.0,5,1,1.0
1.0,6,1,1.0
1.0,1,2,1.0
1.0,2,2,1.0
1.0,3,2,1.0
1.0,4,2,1.0
1.0,5,2,1.0
1.0,6,2,1.0
1.5,1,0,1.0
1.5,2,0,1.0
1.5,3,0,1.0
1.5,4,0,1.0
1.5,5,0,1.0
1.5,6,0,1.0
1.5,1,1,1.0
1.5,2,1,1.0
1.5,3,1,1.0
1.5,4,1,1.0
1.5,5,1,1.0
1.5,6,1,1.0
1.5,1,2,1.0
1.5,2,2,1.0
1.5,3,2,1.0
1.5,4,2,1.0
1.5,5,2,1.0
1.5,6,2,1.0
2.0,1,0,1.0
2.0,2,0,1.0
2.0,3,0,1.0
2.0,4,0,1.0
2.0,5,0,1.0
2.0,6,0,1.0
2.0,1,1,1.0
2.0,2,1,1.0
2.0,3,1,1.0
2.0,4,1,1.0
2.0,5,1,1.0
2.0,6,1,1.0
2.0,1,2,1.0
2.0,2,2,1.0
2.0,3,2,1.0
2.0,4,2,1.0
2.0,5,2,1.0
2.0,6,2,1.0
3.0,1,0,1.0
3.0,2,0,1.0
3.0,3,0,1.0
3.0,4,0,1.0
3.0,5,0,1.0
3.0,6,0,1.0
3.0,1,1,1.0
3.0,2,1,1.0
3.0,3,1,1.0
3.0,4,1,1.0
3.0,5,1,1.0
3.0,6,1,1.0
3.0,1,2,1.0
3.0,2,2,1.0
3.0,3,2,1.0
3.0,4,2,1.0
3.0,5,2,1.0
3.0,6,2,1.0
5.0,1,0,1.0
5.0,2,0,1.0
5.0,3,0,1.0
5.0,4,0,1.0
5.0,5,0,1.0
5.0,6,0,1.0
5.0,1,1,1.0
5.0,2,1,1.0
5.0,3,1,1.0
5.0,4,1,0.998046875
5.0,5,1,1.0
5.0,6,1,1.0
5.0,1,2,1.0
5.0,2,2,1.0
5.0,3,2,1.0
5.0,4,2,0.9990234375
5.0,5,2,1.0
5.0,6,2,1.0
7.0,1,0,1.0
7.0,2,0,0.9990234375
7.0,3,0,0.923828125
7.0,4,0,0.8193359375
7.0,5,0,1.0
7.0,6,0,1.0
7.0,1,1,1.0
7.0,2,1,1.0
7.0,3,1,0.9140625
7.0,4,1,0.8427734375
7.0,5,1,1.0
7.0,6,1,1.0
7.0,1,2,1.0
7.0,2,2,0.9990234375
7.0,3,2,0.9287109375
7.0,4,2,0.8427734375
7.0,5,2,1.0
7.0,6,2,1.0
10.0,1,0,0.986328125
10.0,2,0,0.9462890625
10.0,3,0,0.7041015625
10.0,4,0,0.5380859375
10.0,5,0,0.9921875
10.0,6,0,1.0
10.0,1,1,0.98828125
10.0,2,1,0.9443359375
10.0,3,1,0.7080078125
10.0,4,1,0.525390625
10.0,5,1,0.9892578125
10.0,6,1,1.0
10.0,1,2,0.9921875
10.0,2,2,0.9423828125
10.0,3,2,0.7119140625
10.0,4,2,0.5576171875
10.0,5,2,0.9912109375
10.0,6,2,1.0
13.0,1,0,0.9423828125
13.0,2,0,0.830078125
13.0,3,0,0.6005859375
13.0,4,0,0.3349609375
13.0,5,0,0.8369140625
13.0,6,0,1.0
13.0,1,1,0.947265625
13.0,2,1,0.8330078125
13.0,3,1,0.6083984375
13.0,4,1,0.3193359375
13.0,5,1,0.814453125
13.0,6,1,1.0
13.0,1,2,0.94921875
13.0,2,2,0.8330078125
13.0,3,2,0.599609375
13.0,4,2,0.34375
13.0,5,2,0.8408203125
13.0,6,2,1.0
16.0,1,0,0.8779296875
16.0,2,0,0.708984375
16.0,3,0,0.50390625
16.0,4,0,0.2314453125
16.0,5,0,0.0810546875
16.0,6,0,0.0
16.0,1,1,0.88671875
16.0,2,1,0.708984375
16.0,3,1,0.5166015625
16.0,4,1,0.2158203125
16.0,5,1,0.1083984375
16.0,6,1,0.0
16.0,1,2,0.892578125
16.0,2,2,0.7158203125
16.0,3,2,0.5
16.0,4,2,0.22265625
16.0,5,2,0.0849609375
16.0,6,2,0.0
20.0,1,0,0.8046875
20.0,2,0,0.6025390625
20.0,3,0,0.4091796875
20.0,4,0,0.17578125
20.0,5,0,0.0244140625
20.0,6,0,0.0
20.0,1,1,0.791015625
20.0,2,1,0.591796875
20.0,3,1,0.41015625
20.0,4,1,0.171875
20.0,5,1,0.0302734375
20.0,6,1,0.0
20.0,1,2,0.8017578125
20.0,2,2,0.607421875
20.0,3,2,0.4052734375
20.0,4,2,0.1728515625
20.0,5,2,0.0283203125
20.0,6,2,0.0
25.0,1,0,0.724609375
25.0,2,0,0.48046875
25.0,3,0,0.322265625
25.0,4,0,0.1572265625
25.0,5,0,0.0126953125
25.0,6,0,0.0
25.0,1,1,0.6923828125
25.0,2,1,0.486328125
25.0,3,1,0.3232421875
25.0,4,1,0.15625
25.0,5,1,0.0146484375
25.0,6,1,0.0
25.0,1,2,0.7099609375
25.0,2,2,0.5126953125
25.0,3,2,0.30859375
25.0,4,2,0.1455078125
25.0,5,2,0.0185546875
25.0,6,2,0.0
30.0,1,0,0.6357421875
30.0,2,0,0.4072265625
30.0,3,0,0.2626953125
30.0,4,0,0.146484375
30.0,5,0,0.009765625
30.0,6,0,0.0
30.0,1,1,0.6044921875
30.0,2,1,0.41015625
30.0,3,1,0.2734375
30.0,4,1,0.1416015625
30.0,5,1,0.009765625
30.0,6,1,0.0
30.0,1,2,0.630859375
30.0,2,2,0.4365234375
30.0,3,2,0.2529296875
30.0,4,2,0.138671875
30.0,5,2,0.01953125
30.0,6,2,0.0009765625
40.0,1,0,0.5146484375
40.0,2,0,0.3193359375
40.0,3,0,0.1865234375
40.0,4,0,0.12890625
40.0,5,0,0.0087890625
40.0,6,0,0.0009765625
40.0,1,1,0.501953125
40.0,2,1,0.3203125
40.0,3,1,0.212890625
40.0,4,1,0.1279296875
40.0,5,1,0.005859375
40.0,6,1,0.0
40.0,1,2,0.5078125
40.0,2,2,0.3359375
40.0,3,2,0.1943359375
40.0,4,2,0.1123046875
40.0,5,2,0.0107421875
40.0,6,2,0.0009765625
60.0,1,0,0.353515625
60.0,2,0,0.2158203125
60.0,3,0,0.1240234375
60.0,4,0,0.0810546875
60.0,5,0,0.0068359375
60.0,6,0,0.0029296875
60.0,1,1,0.37109375
60.0,2,1,0.2353515625
60.0,3,1,0.142578125
60.0,4,1,0.087890625
60.0,5,1,0.0029296875
60.0,6,1,0.0009765625
60.0,1,2,0.369140625
60.0,2,2,0.2451171875
60.0,3,2,0.125
60.0,4,2,0.0791015625
60.0,5,2,0.0048828125
60.0,6,2,0.0029296875
