alpha,optimizer,seed,frac_active_sp_gt_0.0001,frac_active_sp_gt_0.001,frac_active_sp_gt_0.01,frac_active_sp_gt_0.05,frac_active_sp_gt_0.1
1.0,pgd,0,1.0,1.0,1.0,1.0,1.0
1.0,pgd,1,1.0,1.0,1.0,1.0,1.0
1.0,pgd,2,1.0,1.0,1.0,1.0,1.0
1.0,pgd,3,1.0,1.0,1.0,1.0,1.0
1.0,pgd,4,1.0,1.0,1.0,1.0,1.0
1.0,pgd,5,1.0,1.0,1.0,1.0,1.0
1.0,pgd,6,1.0,1.0,1.0,1.0,1.0
1.0,pgd,7,1.0,1.0,1.0,1.0,1.0
1.0,momentum,0,1.0,1.0,1.0,1.0,1.0
1.0,momentum,1,1.0,1.0,1.0,1.0,1.0
1.0,momentum,2,1.0,1.0,1.0,1.0,1.0
1.0,momentum,3,1.0,1.0,1.0,1.0,1.0
1.0,momentum,4,1.0,1.0,1.0,1.0,1.0
1.0,momentum,5,1.0,1.0,1.0,1.0,1.0
1.0,momentum,6,1.0,1.0,1.0,1.0,1.0
1.0,momentum,7,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,0,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,1,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,2,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,3,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,4,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,5,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,6,1.0,1.0,1.0,1.0,1.0
1.0,nesterov,7,1.0,1.0,1.0,1.0,1.0
1.0,adam,0,1.0,1.0,1.0,1.0,1.0
1.0,adam,1,1.0,1.0,1.0,1.0,1.0
1.0,adam,2,1.0,1.0,1.0,1.0,1.0
1.0,adam,3,1.0,1.0,1.0,1.0,1.0
1.0,adam,4,1.0,1.0,1.0,1.0,1.0
1.0,adam,5,1.0,1.0,1.0,1.0,1.0
1.0,adam,6,1.0,1.0,1.0,1.0,1.0
1.0,adam,7,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,0,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,1,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,2,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,3,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,4,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,5,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,6,1.0,1.0,1.0,1.0,1.0
1.0,lbfgsb,7,1.0,1.0,1.0,1.0,1.0
1.5,pgd,0,1.0,1.0,1.0,1.0,1.0
1.5,pgd,1,1.0,1.0,1.0,1.0,1.0
1.5,pgd,2,1.0,1.0,1.0,1.0,1.0
1.5,pgd,3,1.0,1.0,1.0,1.0,1.0
1.5,pgd,4,1.0,1.0,1.0,1.0,1.0
1.5,pgd,5,1.0,1.0,1.0,1.0,1.0
1.5,pgd,6,1.0,1.0,1.0,1.0,1.0
1.5,pgd,7,1.0,1.0,1.0,1.0,1.0
1.5,momentum,0,1.0,1.0,1.0,1.0,1.0
1.5,momentum,1,1.0,1.0,1.0,1.0,1.0
1.5,momentum,2,1.0,1.0,1.0,1.0,1.0
1.5,momentum,3,1.0,1.0,1.0,1.0,1.0
1.5,momentum,4,1.0,1.0,1.0,1.0,1.0
1.5,momentum,5,1.0,1.0,1.0,1.0,1.0
1.5,momentum,6,1.0,1.0,1.0,1.0,1.0
1.5,momentum,7,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,0,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,1,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,2,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,3,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,4,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,5,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,6,1.0,1.0,1.0,1.0,1.0
1.5,nesterov,7,1.0,1.0,1.0,1.0,1.0
