alpha,mean_iou,attack_success_07,privacy_07,utility_proxy
1.0,1.0,1.0,0.0,0.09090909090909094
1.5,1.0,1.0,0.0,0.13043478260869557
2.0,1.0,1.0,0.0,0.16666666666666663
3.0,1.0,1.0,0.0,0.23076923076923084
4.0,1.0,1.0,0.0,0.2857142857142857
5.0,1.0,1.0,0.0,0.33333333333333337
6.0,1.0,1.0,0.0,0.375
7.0,1.0,1.0,0.0,0.41176470588235303
8.0,1.0,1.0,0.0,0.4444444444444444
9.0,1.0,1.0,0.0,0.4736842105263158
10.0,1.0,1.0,0.0,0.5
11.0,0.9996337890625,1.0,0.0,0.5238095238095238
12.0,0.9985970250571646,1.0,0.0,0.5454545454545454
13.0,0.9954947359552412,1.0,0.0,0.5652173913043478
14.0,0.9919247211421675,1.0,0.0,0.5833333333333334
15.0,0.9876398969971129,1.0,0.0,0.6
16.0,0.981155936093058,1.0,0.0,0.6153846153846154
17.0,0.9732031608469791,1.0,0.0,0.6296296296296297
18.0,0.9643039306841947,1.0,0.0,0.6428571428571428
19.0,0.9569984265501852,1.0,0.0,0.6551724137931034
20.0,0.9473825398434375,1.0,0.0,0.6666666666666667
22.0,0.9320712694038963,1.0,0.0,0.6875
25.0,0.9077434778524698,1.0,0.0,0.7142857142857143
28.0,0.8871608618982423,1.0,0.0,0.736842105263158
30.0,0.8745349983895119,1.0,0.0,0.75
35.0,0.8511443999741599,1.0,0.0,0.7777777777777778
40.0,0.8296438778029045,1.0,0.0,0.8
50.0,0.7984942758414753,1.0,0.0,0.8333333333333334
60.0,0.7712228175469273,1.0,0.0,0.8571428571428572
