image_h,image_w,kernel_name,target_name,alpha,c,activation,noise_std,tv_lambda,tikhonov_lambda,optimizer,init_mode,seed,time_sec,loss_init,loss_final,grad_init,grad_final,output_mse_final,output_binary_acc_final,output_iou_final,input_psnr_final,input_ssim_final,active_grad_frac_final,saturation_frac_final,rel_loss_reduction,num_iters_recorded
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,51.67829895019531,1092.418871696519,634.164557106609,29.044827081467933,20.991918538576957,0.1548253313248557,1.0,1.0,4.597178517842641,0.0033627866043108795,1.0,0.0,0.4194859009330773,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,52.38356828689575,1075.0846512993649,634.164648777713,28.663410400150564,20.991914955159878,0.15482535370549633,1.0,1.0,4.599894680816154,0.0034837233489785134,1.0,0.0,0.4101258463589344,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,53.109474897384644,1096.0214256277793,634.1645950116758,29.433785312587247,20.99190854172278,0.15482534057902242,1.0,1.0,4.594940988128019,0.003933426815752035,1.0,0.0,0.42139397991381516,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,53.51396322250366,1096.8077280803373,634.1647155217452,29.48593866578953,20.991914838024552,0.15482537000042607,1.0,1.0,4.592771082451216,0.003765091070927773,1.0,0.0,0.42180867321961935,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,52.630289793014526,1085.2546729284109,634.1646105006371,29.120437805605626,20.991912155333218,0.1548253443605071,1.0,1.0,4.593097212930923,0.0020501432846784413,1.0,0.0,0.4156536467247537,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,5,53.1814181804657,1093.1319615699526,634.1645481928914,29.36380113428763,20.991909334540438,0.15482532914865513,1.0,1.0,4.579363158255989,0.00038682382799064643,1.0,0.0,0.41986459962061096,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,6,52.03056740760803,1076.7795879654868,634.1646830586893,29.092042930709713,20.991910766389683,0.15482536207487532,1.0,1.0,4.585054137815354,0.0010252596432568102,1.0,0.0,0.41105432333008185,600
64,64,sobel_x,checkerboard,1.0,0.0,sigmoid,0.0,0.0,0.0,adam,random,7,54.131099700927734,1105.930277998634,634.1647023145233,29.75438993554479,20.991911024135792,0.15482536677600667,1.0,1.0,4.601381747372576,0.004793069813121154,1.0,0.0,0.4265780448093432,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,0,53.78637361526489,1156.0253448260773,486.09442858178915,42.77111299670488,25.380055872313264,0.11867539760297587,1.0,1.0,4.596632795144354,0.0034003623274564184,1.0,0.0,0.5795123084823703,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,1,51.388580560684204,1131.1392176599334,486.0945480869837,42.04092793544508,25.380048521162028,0.11867542677904876,1.0,1.0,4.599562955004029,0.003348017048619301,1.0,0.0,0.5702610779488299,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,2,52.86178255081177,1160.575528091473,486.0944391365678,43.530100870626036,25.380036255374353,0.11867540017982613,1.0,1.0,4.594544604963265,0.0038730320937141053,1.0,0.0,0.5811608746085369,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,3,52.21981430053711,1162.393970358035,486.09466366902836,43.41013809260689,25.380050524042375,0.11867545499732138,1.0,1.0,4.591537685137529,0.0035813703534731153,1.0,0.0,0.581815910900412,600
64,64,sobel_x,checkerboard,1.5,0.0,sigmoid,0.0,0.0,0.0,adam,random,4,52.01433444023132,1146.7068188171845,486.0944728177803,42.84859015516436,25.380043416765126,0.11867540840277839,1.0,1.0,4.592658458901654,0.002130493923582858,1.0,0.0,0.5760952452352368,600
