alpha,fixed_iou_mean,trained_iou_mean,wilcoxon_p,significance,n
1.0,1.0,0.25,0.0078125,**,8
1.5,1.0,0.402587890625,0.0078125,**,8
2.0,1.0,0.64056396484375,0.0078125,**,8
3.0,1.0,0.712890625,0.0078125,**,8
5.0,1.0,0.7120361328125,0.0078125,**,8
7.0,1.0,0.735595703125,0.0078125,**,8
10.0,1.0,0.736083984375,0.0078125,**,8
13.0,0.9954947359552411,0.7198043085994692,0.0078125,**,8
16.0,0.981155936093058,0.6950444216844512,0.0078125,**,8
20.0,0.9473825398434375,0.6618327931462101,0.0078125,**,8
25.0,0.9077434778524698,0.6292040619511787,0.0078125,**,8
30.0,0.8745349983895119,0.5984834873067055,0.0078125,**,8
40.0,0.8296438778029045,0.56194980158995,0.0078125,**,8
60.0,0.7712228175469273,0.5179869252070977,0.0078125,**,8
