activation,optimizer,seed,ckpt_path,pre_finetune_test_acc,post_finetune_test_acc,pre_finetune_test_loss,post_finetune_test_loss,active_frac
gelu,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_gelu_seed0.pt,0.9272,0.8743,0.2294842139720916,0.4198252726316452,0.9932152941176472
gelu,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_gelu_seed1.pt,0.9274,0.8736,0.232662466263771,0.3960494323730468,0.993404705882353
gelu,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_gelu_seed2.pt,0.9277,0.8723,0.2294788603305816,0.4161754748821258,0.9938847058823528
mish,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_mish_seed0.pt,0.9186,0.8512,0.2474403153419494,0.4840433635234832,0.9966729411764704
mish,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_mish_seed1.pt,0.9176,0.8417,0.2503567202091217,0.5354240526676178,0.9969882352941176
mish,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_mish_seed2.pt,0.9185,0.8738,0.248014749789238,0.4037172648906708,0.9969670588235294
relu,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_relu_seed0.pt,0.9275,0.8824,0.2404394243717193,0.4054342202663422,0.3762176470588235
relu,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_relu_seed1.pt,0.9232,0.8522,0.2453538665294647,0.4680080770015716,0.3878705882352941
relu,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_relu_seed2.pt,0.9227,0.8186,0.2381424726724624,0.6727487238883972,0.374075294117647
silu,sgd,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_silu_seed0.pt,0.9176,0.8463,0.2474894653797149,0.4806518252372742,0.9972482352941175
silu,sgd,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_silu_seed1.pt,0.9151,0.8594,0.2558378822088241,0.4495867017388343,0.997150588235294
silu,sgd,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints/resnet18_silu_seed2.pt,0.9167,0.8559,0.2486755311250686,0.4621474896430969,0.9974364705882351
gelu,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_gelu_adamw_seed0.pt,0.9172,0.8774,0.349275120306015,0.5095426244735718,0.9753317647058825
gelu,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_gelu_adamw_seed1.pt,0.9242,0.909,0.3249895947933197,0.3965046221733093,0.9751835294117648
gelu,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_gelu_adamw_seed2.pt,0.9222,0.8982,0.3315956529855728,0.4334631854057312,0.9747882352941176
mish,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_mish_adamw_seed0.pt,0.9199,0.8994,0.3167513970375061,0.4147430438518524,0.9840058823529412
mish,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_mish_adamw_seed1.pt,0.919,0.8948,0.3135460631370544,0.4243175728797912,0.984155294117647
mish,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_mish_adamw_seed2.pt,0.9204,0.89,0.3175008447647094,0.4394455877304077,0.984270588235294
relu,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_relu_adamw_seed0.pt,0.9203,0.8745,0.3107024497985839,0.5443222602844239,0.4702117647058823
relu,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_relu_adamw_seed1.pt,0.9195,0.8951,0.3249337211608886,0.4332050986289978,0.4685541176470588
relu,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_relu_adamw_seed2.pt,0.9185,0.868,0.3269545141458511,0.5432483360290528,0.4700729411764706
silu,adamw,0,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_silu_adamw_seed0.pt,0.9218,0.8941,0.3079153110027313,0.4334260949134826,0.98294
silu,adamw,1,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_silu_adamw_seed1.pt,0.9194,0.8924,0.3210012856483459,0.4377795728683472,0.9826811764705884
silu,adamw,2,/home/aelmersa/MMLS/gradient_gate/../gradient_gate_outputs/checkpoints_adamw/resnet18_silu_adamw_seed2.pt,0.9194,0.8714,0.3151698790550232,0.5052863124847412,0.9831070588235294
