activation,seed,epoch,test_acc,epoch_time,gate_mean,active_frac,pre_activation_var,post_activation_var,bn_mean_abs_gamma,bn_mean_abs_beta,hessian_trace_estimate,top_eigenvalue_estimate
relu,0,0,0.4129,54.4845244884491,0.5067846775054932,0.5067847058823529,0.9081298533607932,0.45094434522530613,0.8163628578186035,0.03726121410727501,286.2338743686676,89.51203918457031
relu,0,6,0.7709,16.059677839279175,0.43602117896080017,0.43602117647058825,0.1575544971753569,0.06518888604991577,0.2772130072116852,0.06549794971942902,451.4529121518135,99.6614990234375
relu,0,12,0.8359,16.08590316772461,0.3863741159439087,0.3863741176470588,0.09077824674108449,0.03550028255866731,0.17810432612895966,0.0650762990117073,1624.3420777559281,183.18675231933594
relu,0,18,0.8852,16.052356958389282,0.37682822346687317,0.37682823529411763,0.07020328977309606,0.026524628074291873,0.15915927290916443,0.06449216604232788,2040.5789336919784,260.4974060058594
relu,0,24,0.9274,16.034109354019165,0.37621763348579407,0.37621764705882355,0.06329565051504794,0.023599051815621993,0.15405426919460297,0.06378740072250366,1290.6894045710565,239.2354736328125
relu,1,0,0.3998,15.970575094223022,0.5198270678520203,0.5198270588235294,0.8680894409908968,0.39292025960543575,0.8151955604553223,0.03757885843515396,263.99557658135893,53.936954498291016
relu,1,6,0.7561,16.019104480743408,0.4317600131034851,0.43176,0.16198237459449208,0.07092317664886222,0.2723367512226105,0.0708724707365036,642.0173068523407,98.5411605834961
relu,1,12,0.8346,15.989015340805054,0.3981141149997711,0.39811411764705884,0.08970443696221884,0.04020313085878596,0.17940585315227509,0.06620276719331741,770.2903413057327,145.5249786376953
relu,1,18,0.8987,16.078199863433838,0.39000824093818665,0.39000823529411766,0.06816367454388562,0.02928125343340285,0.1604383885860443,0.06637230515480042,1889.5441791772841,231.7517547607422
relu,1,24,0.9226,15.957521438598633,0.38787057995796204,0.38787058823529413,0.061273690148749775,0.026021390783545727,0.15481768548488617,0.06577751785516739,3792.9201183199884,390.0556335449219
relu,2,0,0.4365,15.878724336624146,0.4977152943611145,0.49771529411764703,0.857573398772408,0.429846791221815,0.8068262934684753,0.04939786344766617,226.799253231287,113.08638000488281
relu,2,6,0.7664,16.003531217575073,0.4167705774307251,0.4167705882352941,0.1565037834293702,0.06623618638909914,0.27002471685409546,0.07158944755792618,653.4061549544334,90.55503845214844
relu,2,12,0.8421,16.00402593612671,0.3824058771133423,0.38240588235294115,0.09043842926621437,0.037938722874969244,0.1781422644853592,0.06329578161239624,870.5407533407212,106.9289779663086
relu,2,18,0.8937,15.885610818862915,0.37575763463974,0.37575764705882353,0.069950523402761,0.028456560048439047,0.1596807837486267,0.06194944679737091,2044.5623443603515,176.86306762695312
relu,2,24,0.9224,15.878828763961792,0.3740752935409546,0.37407529411764706,0.06334613373174387,0.025646399829865378,0.15459588170051575,0.06093160808086395,2918.5160912036895,313.26727294921875
gelu,0,0,0.4527,16.532010078430176,0.5415144562721252,0.9833976470588235,0.9605415218016681,0.42591750271180095,0.8197314143180847,0.023224331438541412,45.27514479160309,64.61767578125
gelu,0,6,0.7956,15.88978886604309,0.4689497649669647,0.991084705882353,0.2582121153964716,0.09809314503389246,0.31658828258514404,0.05074245110154152,300.0862014889717,65.76007843017578
gelu,0,12,0.8528,15.909760236740112,0.4537810981273651,0.9927611764705883,0.19224309778827078,0.06644841365735321,0.2387077361345291,0.05491949990391731,868.019589817524,95.71446990966797
gelu,0,18,0.9102,15.930411100387573,0.45127227902412415,0.993275294117647,0.1674036962144515,0.05538158315946074,0.21908514201641083,0.05719801038503647,1385.3129469156265,150.08670043945312
gelu,0,24,0.9263,15.91376256942749,0.45152896642684937,0.9932152941176471,0.15733467327321277,0.05088324357262429,0.21471959352493286,0.056780193001031876,1503.8533912301064,169.057861328125
gelu,1,0,0.4678,15.915439367294312,0.5416789054870605,0.9826364705882353,0.9448966769611135,0.4168455964502166,0.8185668587684631,0.02341376803815365,70.1405430585146,37.83747863769531
gelu,1,6,0.7913,15.905482769012451,0.47339484095573425,0.9913423529411765,0.2609408348798752,0.10471642970600549,0.32016122341156006,0.055245254188776016,-98.42259851694106,69.7502670288086
gelu,1,12,0.8538,15.910651445388794,0.45794177055358887,0.9929129411764706,0.1908614979509045,0.07038680688642404,0.24375367164611816,0.05984754115343094,69.90227134823799,73.80593872070312
gelu,1,18,0.9047,16.01959538459778,0.45512819290161133,0.9931494117647058,0.16613925741437605,0.058427090044407284,0.22407224774360657,0.06114470958709717,169.01058892011642,114.79295349121094
gelu,1,24,0.927,15.997891426086426,0.4555665850639343,0.993404705882353,0.15642525573425434,0.05407628359492211,0.21932701766490936,0.060580167919397354,1384.750418305397,184.75851440429688
gelu,2,0,0.4318,15.912518501281738,0.5412415266036987,0.9835105882352941,0.9554952418102938,0.42702226121636,0.8178268671035767,0.0244769174605608,-300.88090364933015,50.034568786621094
gelu,2,6,0.7998,15.930654764175415,0.47906604409217834,0.9918164705882353,0.2596403789870879,0.1116059030241826,0.3206799626350403,0.05910901352763176,491.57251829206945,38.1944694519043
gelu,2,12,0.8515,15.934113025665283,0.464445024728775,0.9933823529411765,0.17932207597529187,0.06900802287547027,0.24686819314956665,0.06443242728710175,525.4513182044029,62.541290283203125
gelu,2,18,0.9005,15.945919752120972,0.46119922399520874,0.9935552941176471,0.1531156425309532,0.05523172897451064,0.22665195167064667,0.06494125723838806,1076.420396542549,137.81497192382812
gelu,2,24,0.9274,16.076680660247803,0.4614213705062866,0.9938847058823529,0.14414589402868466,0.05109805422013297,0.22177116572856903,0.0641418993473053,576.5135664701462,127.5765151977539
silu,0,0,0.4154,17.532822608947754,0.5226715207099915,0.9918847058823529,0.9605648202054641,0.39294007026097355,0.8207768201828003,0.017734991386532784,297.28645150363445,47.82786560058594
silu,0,6,0.7937,16.03781533241272,0.4823238253593445,0.996644705882353,0.2975800304728396,0.10977635696968611,0.33387669920921326,0.04333924129605293,123.07904541492462,57.125091552734375
silu,0,12,0.8546,16.050231218338013,0.47415345907211304,0.9968482352941177,0.22024075270575635,0.07085337550105418,0.2521679103374481,0.0477726124227047,281.88170914053916,52.49810791015625
silu,0,18,0.896,15.972313404083252,0.47324687242507935,0.9971047058823529,0.19231819744934053,0.0583342908991172,0.22990186512470245,0.04846825450658798,491.3549193620682,105.3751449584961
silu,0,24,0.9168,15.915163278579712,0.4735567569732666,0.9972482352941177,0.1810646733159528,0.053594609339009315,0.22494438290596008,0.04783209413290024,866.9680571556091,131.47825622558594
silu,1,0,0.4477,15.969630241394043,0.5240956544876099,0.9924011764705882,0.9800447085324455,0.3960399277069989,0.8218327760696411,0.01817907765507698,394.07782946377995,39.14970397949219
silu,1,6,0.79,15.923505783081055,0.48113730549812317,0.9966694117647059,0.30518024721566367,0.11213047002606533,0.3341943919658661,0.04370024427771568,478.2784711122513,65.2174072265625
silu,1,12,0.8434,15.934374570846558,0.4730491638183594,0.9970105882352941,0.23246716861339176,0.07811098682748921,0.25274622440338135,0.0487784668803215,668.6041390657425,92.62001037597656
silu,1,18,0.8908,16.148077726364136,0.4721866548061371,0.9972023529411764,0.20439901728840434,0.0663353955537519,0.230075865983963,0.049850285053253174,393.52294291257857,78.08511352539062
silu,1,24,0.9151,16.108728170394897,0.47295767068862915,0.9971505882352941,0.19336417909054196,0.06159675622578053,0.2251979559659958,0.04908095672726631,1497.4513675808907,151.77337646484375
silu,2,0,0.4381,16.085094451904297,0.5219917893409729,0.9935105882352941,0.9454282802693984,0.39829883110873837,0.8202574849128723,0.018514934927225113,242.64989759624004,68.40956115722656
silu,2,6,0.7879,15.87714672088623,0.4872981011867523,0.9969188235294117,0.2964578586466172,0.11005693991832874,0.33648157119750977,0.04403053969144821,277.6466303229332,47.84983825683594
silu,2,12,0.8454,15.925768613815308,0.478149950504303,0.9972564705882353,0.23036430261152632,0.0795748253517291,0.2564356029033661,0.04887044057250023,637.365851187706,61.94715118408203
silu,2,18,0.8861,15.942715406417847,0.477617084980011,0.9973482352941176,0.20315279647269668,0.0676829818471828,0.23390483856201172,0.04947356507182121,883.0528477191925,77.2333984375
silu,2,24,0.9171,15.929535150527954,0.47817620635032654,0.9974364705882353,0.19184391562114744,0.06284767638563234,0.22887931764125824,0.04872400313615799,927.5733433008194,165.7920684814453
mish,0,0,0.4409,17.366366863250732,0.5961396098136902,0.9920729411764706,0.9926148758215063,0.4918327099260162,0.8199008703231812,0.024364514276385307,308.47531653642653,48.743656158447266
mish,0,6,0.7857,16.03120231628418,0.5503684282302856,0.9960329411764706,0.289981901207391,0.12016847181846113,0.3256940543651581,0.058542635291814804,606.1271548211574,54.80082321166992
