alpha,seed,null_dim,sigma_min,sigma_max,stable_rank,condition_number,n_nonzero_sv
1.0,0,46,1.2678356340938512e-19,0.9161188456904591,46.37477980708512,916118729541.6621,210
1.0,1,46,2.699762432014654e-19,0.9257121058195257,45.91373719775357,925711855899.3167,210
1.0,2,46,2.722201708047592e-18,0.9170747545552184,46.84473971842093,917072258099.5509,210
1.0,3,46,2.765252563543117e-20,0.9194524161261802,46.39043932283109,919452390700.9994,210
1.0,4,46,2.9224114972017483e-18,0.9169656812767769,46.94599605133697,916963001533.5587,210
1.5,0,46,1.3703319264467268e-18,1.3081312776786427,43.107818571944534,1308129485107.0454,210
1.5,1,46,1.4714502063149505e-19,1.3253906790272822,42.13538766191193,1325390484002.6724,210
1.5,2,46,2.4931398361319163e-18,1.2978679559373856,44.17857609994115,1297864720179.1497,210
1.5,3,46,1.6519280942979546e-18,1.2921764490768362,44.42267046906374,1292174314497.7832,210
1.5,4,46,4.842574895828289e-18,1.2859921231677904,45.321524457664324,1285985895684.7756,210
2.0,0,46,8.013560020116319e-19,1.6920167380467235,38.939449284344924,1692015382140.0417,210
2.0,1,46,1.0266832962845608e-19,1.7006514937893706,37.88745429199309,1700651319186.3406,210
2.0,2,46,3.703939099118116e-19,1.6450881444418972,41.0894697280048,1645087535111.493,210
2.0,3,46,2.428275083490713e-18,1.6258460091977773,42.06481066617801,1625842061206.0105,210
2.0,4,46,1.3050270101527584e-18,1.6178881983047297,42.97055589798102,1617886086919.687,210
3.0,0,46,9.199331427149455e-19,2.420471199443898,32.61913672325352,2420468972774.269,210
3.0,1,46,1.7557427400121941e-19,2.3882707245729824,31.075714854682367,2388270305254.157,210
3.0,2,46,1.1305856918805484e-18,2.316443479202685,34.54836324511545,2316440860267.7925,210
3.0,3,46,5.863486095827351e-19,2.2497680927573303,36.85197272998118,2249766773609.711,210
3.0,4,46,4.145994835746109e-18,2.233609980482655,37.67756927947629,2233600719985.605,210
5.0,0,46,2.096144359274537e-19,3.7097476109372707,26.160660270939857,3709746833320.781,210
5.0,1,46,1.1852688062011263e-19,3.630498733102684,23.12302903019408,3630498302791.0454,210
5.0,2,46,2.4081054322644637e-20,3.470939060185355,27.666570764128785,3470938976601.4854,210
5.0,3,46,1.614047771088144e-20,3.4100311026380217,29.12716994328693,3410031047598.4917,210
5.0,4,46,2.509574059560246e-20,3.309845595158606,30.879498013167204,3309845512095.582,210
7.0,0,51,2.052208653860356e-20,4.829183561366225,23.043272529520944,4829183462261.305,205
7.0,1,47,7.956593743573477e-21,4.938771748070933,17.82685878612778,4938771708775.133,209
7.0,2,47,1.2977646525131496e-20,4.438538913183632,24.336903038878777,4438538855581.844,209
7.0,3,48,1.3491343919166384e-21,4.536162385682046,23.88043771729278,4536162379562.153,208
7.0,4,47,1.716501549377212e-21,4.367267736969048,25.546592142487945,4367267729472.626,209
10.0,0,71,5.886251116418338e-23,6.326527098516424,20.347602007673775,6326527098144.029,185
10.0,1,63,3.016723496794351e-23,6.7332751106462565,14.022639652841008,6733275110443.132,193
10.0,2,67,3.349360596719155e-23,5.905357452426468,19.982268817418664,5905357452228.677,189
10.0,3,67,1.1336513237899484e-23,6.212421083002857,18.781487688311117,6212421082932.43,189
10.0,4,61,1.3048752904851063e-23,5.844029424402891,20.83876797172991,5844029424326.635,195
13.0,0,97,1.9806858191717695e-24,7.715650630502031,18.345300707794248,7715650630486.749,159
13.0,1,88,1.349222981106493e-25,8.333885957080044,12.08434124439634,8333885957078.92,168
13.0,2,90,7.477445812941071e-24,7.390288918067792,16.649254366969128,7390288918012.531,166
13.0,3,93,2.7331126461510203e-26,7.8562890099976,15.697649275687976,7856289009997.387,163
13.0,4,90,1.2814793138980021e-24,7.263074458938644,17.81507727803373,7263074458929.336,166
16.0,0,112,1.1447440399919394e-26,9.020930841672703,16.726029520958317,9020930841672.6,144
16.0,1,112,4.056291615573968e-28,9.782472135534592,10.884009252403706,9782472135534.588,144
16.0,2,112,5.399699649615037e-26,8.74880469301969,14.529225141879447,8748804693019.218,144
16.0,3,111,7.328705056182353e-29,9.448577574801973,13.68086884555341,9448577574801.973,145
16.0,4,112,6.911883949434079e-27,8.547874313047286,15.986857282843275,8547874313047.228,144
20.0,0,128,7.203649042786841e-29,10.592749479140137,15.161575917914574,10592749479140.137,128
20.0,1,144,3.323865645071438e-30,11.552743496467821,9.75929147616068,11552743496467.822,112
20.0,2,130,3.15081965230763e-28,10.355738476835931,12.687276735338049,10355738476835.928,126
20.0,3,131,5.326974914510772e-32,11.462808438005702,11.888477694915819,11462808438005.701,125
20.0,4,133,6.544890521470414e-31,10.102587061802778,14.374695228618135,10102587061802.777,123
25.0,0,147,1.833809552665279e-32,12.221848447640586,14.02197220512911,12221848447640.586,109
