arch,activation,optimizer,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,min_active_frac,mean_effective_rank,mean_stable_rank,n_layers_measured,n_layers_total,grad_norm
resnet18,relu,adamw,cifar10,0,0,0.45821314102564104,1.167855660533905,0.58,0.000996057350657239,65.76296472549438,0.5248396133675295,0.44148337841033936,51.16386121862075,2.5923254700268017,17,17,4.39188774908893
resnet18,relu,adamw,cifar10,0,1,0.6523036858974359,1.1314816640853882,0.6256,0.0009842915805643156,19.939064979553223,0.520562222775291,0.4292144775390625,52.114692463594324,2.601633345379549,17,17,3.62103593746815
resnet18,relu,adamw,cifar10,0,2,0.7298076923076923,0.7070881236076355,0.7561,0.0009648882429441258,20.673165798187256,0.5155662736471962,0.42473873496055603,52.803215251249426,2.630647154415355,17,17,3.032337327728945
resnet18,relu,adamw,cifar10,0,3,0.7827924679487179,0.6124622757911682,0.7861,0.0009381533400219318,19.39241075515747,0.5089321346843944,0.4334449768066406,53.30360502355239,2.68181391323314,17,17,2.264534704842144
resnet18,relu,adamw,cifar10,0,4,0.8130208333333333,0.6104807415008545,0.8004,0.0009045084971874737,20.559107780456543,0.5033561604864457,0.42505836486816406,53.45908939137178,2.718988944502438,17,17,1.7456386341786565
resnet18,relu,adamw,cifar10,0,5,0.8366786858974359,0.5864893261909485,0.809,0.0008644843137107057,18.518702268600464,0.4970207600032582,0.4227447509765625,53.820671530330884,2.7582435888402603,17,17,2.779523305439682
resnet18,relu,adamw,cifar10,0,6,0.8555889423076923,0.4999804109573364,0.8366,0.0008187119948743448,21.30523419380188,0.49297547691008625,0.417388916015625,53.82938654282514,2.7874980323454914,17,17,2.082872454667985
resnet18,relu,adamw,cifar10,0,7,0.8697716346153846,0.4913876338005066,0.8341,0.0007679133974894982,21.86042332649231,0.48783914131276745,0.4123973846435547,54.052061417523554,2.8088657154756436,17,17,2.2740394606534777
resnet18,relu,adamw,cifar10,0,8,0.8818709935897436,0.45283696846961974,0.8485,0.0007128896457825362,22.516000270843506,0.4846132309997783,0.4117288589477539,54.071745704202094,2.8040915376999798,17,17,3.021903426827828
resnet18,relu,adamw,cifar10,0,9,0.8937900641025641,0.38270264925956726,0.8723,0.0006545084971874736,22.150787591934204,0.48048705914441275,0.4059995710849762,54.25131764131434,2.8535869191674625,17,17,2.6350688500948602
resnet18,relu,adamw,cifar10,0,10,0.9046073717948718,0.4021513832092285,0.8707,0.0005936906572928624,21.17965269088745,0.47811083057347464,0.4035377502441406,54.6337459788603,2.9427467865102432,17,17,3.3115726779046275
resnet18,relu,adamw,cifar10,0,11,0.9142828525641026,0.337306982088089,0.8898,0.0005313952597646568,22.161765098571777,0.47537521053763,0.40123844146728516,54.650257783777576,2.959549903869629,17,17,2.4308274241100185
resnet18,relu,adamw,cifar10,0,12,0.9242788461538461,0.3680171363353729,0.8875,0.00046860474023534336,22.105414867401123,0.4737098813056946,0.39738941192626953,54.741974550135,2.9630053323857926,17,17,2.913376891305825
resnet18,relu,adamw,cifar10,0,13,0.9325320512820513,0.3295201858997345,0.8993,0.0004063093427071377,21.737675428390503,0.47230128505650687,0.39532604813575745,54.85496924905216,2.963585138320923,17,17,2.364590474800124
resnet18,relu,adamw,cifar10,0,14,0.940604967948718,0.31872260365486144,0.9061,0.00034549150281252644,19.836719036102295,0.4709063067155726,0.39289799332618713,54.816987205954156,2.9379037969252644,17,17,2.2912409403891485
resnet18,relu,adamw,cifar10,0,15,0.9475160256410257,0.3328033315181732,0.9021,0.00028711035421746366,20.569678783416748,0.47048915484372306,0.3918333053588867,54.95505770514993,2.9694331253276154,17,17,3.9611282238477536
resnet18,relu,adamw,cifar10,0,16,0.9548677884615384,0.3191049973487854,0.9061,0.00023208660251050156,21.12177538871765,0.470142241786508,0.3910236358642578,55.028758329503674,2.9887841869803036,17,17,2.5230479647998454
resnet18,relu,adamw,cifar10,0,17,0.9624399038461539,0.3321613959312439,0.9055,0.00018128800512565513,21.688746452331543,0.46941976862795215,0.39014625549316406,55.03357494578642,2.986185354344985,17,17,2.651727847080674
resnet18,relu,adamw,cifar10,0,18,0.9683092948717948,0.31810352110862733,0.9127,0.00013551568628929433,18.852203607559204,0.46969325402203727,0.38957977294921875,55.1772642696605,3.0177024252274456,17,17,3.2348998899255217
resnet18,relu,adamw,cifar10,0,19,0.9728766025641026,0.30545985357761385,0.9185,9.549150281252634e-05,18.139864444732666,0.4698764804531546,0.3897829055786133,55.070489098044,2.9791032987482406,17,17,3.330248941150955
resnet18,relu,adamw,cifar10,0,20,0.9777644230769231,0.3145534837722778,0.9179,6.184665997806823e-05,18.197083711624146,0.4698767293902004,0.38892650604248047,55.228911007151886,3.0096241866841034,17,17,3.782036100911547
resnet18,relu,adamw,cifar10,0,21,0.9794070512820513,0.32206443128585815,0.9187,3.511175705587433e-05,18.12685799598694,0.4700408788288341,0.3889036178588867,55.274181590360755,3.030624207328348,17,17,4.439974294195431
resnet18,relu,adamw,cifar10,0,22,0.9828125,0.3214781207084656,0.9179,1.570841943568452e-05,18.12545132637024,0.4701445558491875,0.3888835906982422,55.337064406451056,3.0129200009738697,17,17,4.426912771183935
resnet18,relu,adamw,cifar10,0,23,0.9841746794871795,0.3166400568008423,0.9196,3.942649342761118e-06,18.102190017700195,0.4701050432289348,0.3888254165649414,55.19312869801241,2.9803230481989242,17,17,4.444684983261952
resnet18,relu,adamw,cifar10,0,24,0.9858173076923077,0.32063002557754516,0.9199,0.0,18.933292388916016,0.470116105149774,0.3887901306152344,55.25585488712086,3.01518214450163,17,17,4.450228683016899
resnet18,relu,adamw,cifar10,1,0,0.46917067307692306,1.2293283630371095,0.5675,0.000996057350657239,19.404673099517822,0.5286073386669159,0.4380226135253906,50.88635467080509,2.50462104993708,17,17,5.913200590189083
resnet18,relu,adamw,cifar10,1,1,0.6574519230769231,0.8904579476356507,0.6815,0.0009842915805643156,18.49337911605835,0.5229153405217564,0.4440631866455078,52.552562040441174,2.558632016181946,17,17,3.3574827434666217
resnet18,relu,adamw,cifar10,1,2,0.7400440705128205,0.8127245649337769,0.7311,0.0009648882429441258,19.04123568534851,0.5160216478740468,0.4338569641113281,52.98647263470818,2.633238210397608,17,17,2.7435675300198317
resnet18,relu,adamw,cifar10,1,3,0.7862580128205128,0.7355152519226075,0.7469,0.0009381533400219318,18.7077157497406,0.5086856098736033,0.4254798889160156,53.51507927389706,2.693621368969188,17,17,1.8218328854430408
resnet18,relu,adamw,cifar10,1,4,0.8168870192307692,0.5978594266891479,0.8011,0.0009045084971874737,18.676682710647583,0.5018309705397662,0.42910003662109375,53.84453358369715,2.7420983454760384,17,17,2.43617551563269
resnet18,relu,adamw,cifar10,1,5,0.8408854166666667,0.5364212552070617,0.8224,0.0008644843137107057,19.60512614250183,0.4961884722990148,0.4264202117919922,53.84468235689051,2.7402872969122494,17,17,2.7888892729847368
resnet18,relu,adamw,cifar10,1,6,0.8589743589743589,0.5741537243843079,0.8179,0.0008187119948743448,21.041956424713135,0.49129630362286286,0.42368507385253906,54.13240342981675,2.7946406883351944,17,17,2.4010987011283587
resnet18,relu,adamw,cifar10,1,7,0.8724158653846154,0.4971001459121704,0.8396,0.0007679133974894982,18.194013357162476,0.48629141905728507,0.4154682159423828,54.311967064352594,2.8537785796558155,17,17,2.4883467676754507
