arch,activation,optimizer,dataset,seed,epoch,train_acc,test_loss,test_acc,lr,epoch_time,mean_active_frac,mean_effective_rank
resnet50,relu,sgd,places365_subset,0,0,0.003951990632318501,5.777847331843964,0.005479452054794521,0.0996057350657239,230.29789018630981,0.5536654022883396,30.727973193538432
resnet50,relu,sgd,places365_subset,0,1,0.01641173887587822,5.227691466449058,0.022602739726027398,0.09842915805643156,179.35703802108765,0.5347368534730406,38.18379826448402
resnet50,relu,sgd,places365_subset,0,2,0.036208284543325524,4.8707006501498284,0.05150684931506849,0.09648882429441258,179.40398454666138,0.5344458094664982,41.297011200262574
resnet50,relu,sgd,places365_subset,0,3,0.06392710772833723,4.523616558754281,0.07986301369863014,0.09381533400219319,179.36700892448425,0.5327688583305904,44.82008883417869
resnet50,relu,sgd,places365_subset,0,4,0.09113363583138173,4.351384503090219,0.0926027397260274,0.0904508497187474,179.86045122146606,0.5268089625300193,46.52957850086446
resnet50,relu,sgd,places365_subset,0,5,0.11799253512880561,4.13518257036601,0.12178082191780822,0.0864484313710706,181.81598901748657,0.5176674449930385,47.05905735249422
resnet50,relu,sgd,places365_subset,0,6,0.14161299765807964,3.921555556205854,0.14534246575342466,0.0818711994874345,179.5316939353943,0.5118854124935306,49.0365656638632
resnet50,relu,sgd,places365_subset,0,7,0.16468457259953162,3.9225785764929366,0.15808219178082192,0.07679133974894983,179.71408247947693,0.5033672865556211,50.130968366350444
resnet50,relu,sgd,places365_subset,0,8,0.186768149882904,3.752008357635916,0.17205479452054795,0.07128896457825364,179.7129898071289,0.49298307177971823,49.98243004935129
resnet50,relu,sgd,places365_subset,0,9,0.20407640515222483,3.76868869311189,0.17,0.06545084971874737,179.5956563949585,0.4880540042507405,51.25460753148916
resnet50,relu,sgd,places365_subset,0,10,0.22182377049180327,3.5485407079409246,0.20123287671232876,0.05936906572928624,179.92534971237183,0.48445585309242717,51.42974355269452
resnet50,relu,sgd,places365_subset,0,11,0.24041276346604215,3.7255919908497432,0.1867123287671233,0.05313952597646568,179.46340775489807,0.47895652633540486,52.269650829081634
resnet50,relu,sgd,places365_subset,0,12,0.2585626463700234,3.5983516661761556,0.18863013698630138,0.04686047402353434,179.59680676460266,0.47405681591861104,52.3720162060796
resnet50,relu,sgd,places365_subset,0,13,0.27958504098360654,3.3915798741170806,0.23232876712328768,0.04063093427071378,179.365314245224,0.4740998970002544,52.41554540517379
resnet50,relu,sgd,places365_subset,0,14,0.29579552107728335,3.2858996122177335,0.24602739726027398,0.03454915028125265,179.46761894226074,0.47216070367365465,52.675168095802775
resnet50,relu,sgd,places365_subset,0,15,0.311676668618267,3.2978820884391054,0.2463013698630137,0.02871103542174637,179.4612512588501,0.47045815203871044,52.7617288706254
resnet50,relu,sgd,places365_subset,0,16,0.33485802107728335,3.1077173269611515,0.2693150684931507,0.02320866025105016,179.4301552772522,0.47072925038483676,52.970726402438416
