activation,seed,epoch,test_acc,mean_mu,median_mu,mean_sigma,frac_mu_negative,mean_standardized_mu
relu,0,0,0.4371,0.025739122182130814,-0.0083124078810215,0.8370559215545654,0.6242315573770492,-0.003588457591831684
relu,0,6,0.8022,-0.04575657472014427,-0.049365170300006866,0.3399413824081421,0.7768954918032787,-0.16718393564224243
relu,0,12,0.8382,-0.048482175916433334,-0.056841492652893066,0.22974595427513123,0.7679303278688525,-0.2876042425632477
relu,0,18,0.9018,-0.0469009093940258,-0.05651838332414627,0.20400497317314148,0.78125,-0.3247022330760956
relu,0,24,0.9264,-0.04493227228522301,-0.054985836148262024,0.19590967893600464,0.7850922131147541,-0.3344206213951111
relu,1,0,0.4049,0.02038649655878544,-0.008143315091729164,0.8376732468605042,0.585297131147541,-0.004971273709088564
relu,1,6,0.7525,-0.051634881645441055,-0.053914874792099,0.3366246521472931,0.7748463114754098,-0.18042129278182983
relu,1,12,0.8537,-0.05281781405210495,-0.06017513945698738,0.22624431550502777,0.7738217213114754,-0.30434685945510864
relu,1,18,0.9005,-0.05012587085366249,-0.05984656512737274,0.20063261687755585,0.7858606557377049,-0.33783504366874695
relu,1,24,0.9234,-0.04782905802130699,-0.058066438883543015,0.1928500384092331,0.7914959016393442,-0.34398186206817627
relu,2,0,0.4468,0.013743041083216667,-0.009797905571758747,0.8208683729171753,0.6157786885245902,-0.015582792460918427
relu,2,6,0.7606,-0.05087246373295784,-0.051860496401786804,0.3382578492164612,0.7876536885245902,-0.18323707580566406
relu,2,12,0.8513,-0.04946796968579292,-0.058186355978250504,0.2306162416934967,0.7699795081967213,-0.2908787131309509
relu,2,18,0.8991,-0.04657888412475586,-0.05634600669145584,0.20514905452728271,0.7853483606557377,-0.31961292028427124
relu,2,24,0.9269,-0.04477633908390999,-0.0551452562212944,0.19677124917507172,0.7909836065573771,-0.3285783529281616
leaky_relu_0.01,0,0,0.4259,0.025095118209719658,-0.006474570836871862,0.852857232093811,0.6214139344262295,0.0012002851581200957
leaky_relu_0.01,0,6,0.7885,-0.0465325303375721,-0.051589369773864746,0.33916255831718445,0.7973872950819673,-0.1839483231306076
leaky_relu_0.01,0,12,0.8404,-0.05241512879729271,-0.05945229530334473,0.2258920818567276,0.7661372950819673,-0.3232679069042206
leaky_relu_0.01,0,18,0.8895,-0.050695475190877914,-0.06040782853960991,0.20039252936840057,0.78125,-0.3699938952922821
leaky_relu_0.01,0,24,0.9242,-0.04894942417740822,-0.05913066118955612,0.1925683319568634,0.7879098360655737,-0.38435614109039307
leaky_relu_0.01,1,0,0.4344,0.01633578911423683,-0.00657891109585762,0.8403183817863464,0.5942622950819673,-0.016707301139831543
leaky_relu_0.01,1,6,0.7909,-0.04333977773785591,-0.0498395636677742,0.3336561620235443,0.7873975409836066,-0.170851930975914
leaky_relu_0.01,1,12,0.8528,-0.04986990615725517,-0.05787971243262291,0.2260323464870453,0.7671618852459017,-0.30182793736457825
leaky_relu_0.01,1,18,0.9018,-0.04673837497830391,-0.05502753704786301,0.201144739985466,0.7845799180327869,-0.33213692903518677
leaky_relu_0.01,1,24,0.9292,-0.045322488993406296,-0.05396358668804169,0.1930084228515625,0.7917520491803278,-0.3424836993217468
leaky_relu_0.01,2,0,0.4184,0.015380085445940495,-0.01287213433533907,0.8429940938949585,0.6119364754098361,-0.008613696321845055
leaky_relu_0.01,2,6,0.7754,-0.04790732264518738,-0.05181049555540085,0.33443138003349304,0.8022540983606558,-0.1813293695449829
leaky_relu_0.01,2,12,0.8396,-0.05241331458091736,-0.061916351318359375,0.223992720246315,0.7663934426229508,-0.3259662687778473
leaky_relu_0.01,2,18,0.9038,-0.050331030040979385,-0.06245008856058121,0.19884070754051208,0.7804815573770492,-0.36275583505630493
leaky_relu_0.01,2,24,0.9266,-0.049060720950365067,-0.06169000267982483,0.19069181382656097,0.7873975409836066,-0.3739258944988251
softplus_beta50,0,0,0.4187,0.031737666577100754,-0.004437318071722984,0.8519103527069092,0.5653176229508197,0.015280076302587986
softplus_beta50,0,6,0.7881,-0.044612761586904526,-0.04922155663371086,0.34298306703567505,0.7789446721311475,-0.1564818173646927
softplus_beta50,0,12,0.8567,-0.05047360435128212,-0.058703988790512085,0.23127026855945587,0.7658811475409836,-0.30138352513313293
softplus_beta50,0,18,0.9028,-0.04965374991297722,-0.059663668274879456,0.2053731232881546,0.7881659836065574,-0.3557191491127014
softplus_beta50,0,24,0.9267,-0.048248305916786194,-0.05920695513486862,0.19725927710533142,0.7935450819672131,-0.3688330054283142
softplus_beta50,1,0,0.4041,0.02773723565042019,-0.005564209073781967,0.8550698757171631,0.5760758196721312,0.0035881721414625645
softplus_beta50,1,6,0.7453,-0.04239768534898758,-0.046422213315963745,0.34457483887672424,0.7774077868852459,-0.14972436428070068
softplus_beta50,1,12,0.8599,-0.04908917844295502,-0.05716322362422943,0.23219333589076996,0.7674180327868853,-0.2942236065864563
softplus_beta50,1,18,0.8919,-0.04750038683414459,-0.05701486021280289,0.20638903975486755,0.789702868852459,-0.3275362253189087
softplus_beta50,1,24,0.9278,-0.04590264707803726,-0.05625443160533905,0.19836434721946716,0.7940573770491803,-0.3575301766395569
softplus_beta50,2,0,0.4135,0.011894050054252148,-0.006510134320706129,0.8254898190498352,0.5658299180327869,-0.03213316574692726
softplus_beta50,2,6,0.783,-0.04258209094405174,-0.048734575510025024,0.3327944278717041,0.772797131147541,-0.1690027266740799
softplus_beta50,2,12,0.821,-0.05128668621182442,-0.06023766100406647,0.22434934973716736,0.7730532786885246,-0.3215712308883667
softplus_beta50,2,18,0.9061,-0.05005630850791931,-0.06197305768728256,0.2004060596227646,0.7848360655737705,-0.36378780007362366
softplus_beta50,2,24,0.9272,-0.048513926565647125,-0.06053476780653,0.19319306313991547,0.7907274590163934,-0.3697020709514618
softplus_beta20,0,0,0.4175,0.034050989896059036,-0.005024374462664127,0.8552184700965881,0.6116803278688525,0.011607060208916664
softplus_beta20,0,6,0.7695,-0.044767800718545914,-0.04659666493535042,0.3461829125881195,0.7891905737704918,-0.1505460888147354
softplus_beta20,0,12,0.8413,-0.05801377817988396,-0.06554566323757172,0.23860026895999908,0.7781762295081968,-0.3388460576534271
softplus_beta20,0,18,0.897,-0.05761957913637161,-0.06802427768707275,0.2150842249393463,0.7943135245901639,-0.5673568248748779
softplus_beta20,0,24,0.9272,-0.05601312965154648,-0.06709611415863037,0.20765143632888794,0.7999487704918032,-0.40740692615509033
