activation,seed,ratio,method,baseline_acc,pruned_acc,acc_drop
relu,0,0.1,gate_density,0.9274,0.8887,0.03869999999999996
relu,0,0.1,magnitude,0.9274,0.9181,0.009299999999999975
relu,0,0.1,random,0.9274,0.8853,0.042100000000000026
relu,0,0.3,gate_density,0.9274,0.6769,0.25050000000000006
relu,0,0.3,magnitude,0.9274,0.6914,0.236
relu,0,0.3,random,0.9274,0.5685,0.3589
relu,0,0.5,gate_density,0.9274,0.3257,0.6017
relu,0,0.5,magnitude,0.9274,0.276,0.6514
relu,0,0.5,random,0.9274,0.1092,0.8182
relu,0,0.7,gate_density,0.9274,0.1112,0.8162
relu,0,0.7,magnitude,0.9274,0.1267,0.8007
relu,0,0.7,random,0.9274,0.1,0.8274
relu,1,0.1,gate_density,0.9226,0.8885,0.03410000000000002
relu,1,0.1,magnitude,0.9226,0.8472,0.07540000000000002
relu,1,0.1,random,0.9226,0.9018,0.02079999999999993
relu,1,0.3,gate_density,0.9226,0.6397,0.28289999999999993
relu,1,0.3,magnitude,0.9226,0.2224,0.7001999999999999
relu,1,0.3,random,0.9226,0.7338,0.18879999999999997
relu,1,0.5,gate_density,0.9226,0.2371,0.6855
relu,1,0.5,magnitude,0.9226,0.1679,0.7546999999999999
relu,1,0.5,random,0.9226,0.1813,0.7413
relu,1,0.7,gate_density,0.9226,0.136,0.7866
relu,1,0.7,magnitude,0.9226,0.1366,0.786
relu,1,0.7,random,0.9226,0.1,0.8226
relu,2,0.1,gate_density,0.9224,0.8543,0.06810000000000005
relu,2,0.1,magnitude,0.9224,0.9138,0.008600000000000052
relu,2,0.1,random,0.9224,0.8777,0.04469999999999996
relu,2,0.3,gate_density,0.9224,0.6369,0.2855
relu,2,0.3,magnitude,0.9224,0.8144,0.10799999999999998
relu,2,0.3,random,0.9224,0.5951,0.32730000000000004
relu,2,0.5,gate_density,0.9224,0.2696,0.6528
relu,2,0.5,magnitude,0.9224,0.3594,0.563
relu,2,0.5,random,0.9224,0.2341,0.6883
relu,2,0.7,gate_density,0.9224,0.2265,0.6959
relu,2,0.7,magnitude,0.9224,0.1073,0.8150999999999999
relu,2,0.7,random,0.9224,0.1378,0.7846
