arch,seed,layer_idx,n_layers,layer_name,active_frac,gate_mean,grad_norm,grad_sparsity,grad_entropy,effective_rank,stable_rank
resnet18,0,0,9,relu,0.9933881759643555,0.9933881759643555,0.686619222164154,0.8527908325195312,,7.588887691497803,2.411400318145752
resnet18,0,1,9,layer1.0.relu,0.4951324462890625,0.4951324462890625,0.6030260324478149,0.06034088134765625,11.435933113098145,6.272260665893555,1.3186187744140625
resnet18,0,2,9,layer1.1.relu,0.5013504028320312,0.5013504028320312,0.40649688243865967,0.06108856201171875,11.437817573547363,6.527533531188965,1.3978034257888794
resnet18,0,3,9,layer2.0.relu,0.5004119873046875,0.5004119873046875,0.3704393208026886,0.057708740234375,10.766338348388672,7.458658218383789,2.1432247161865234
resnet18,0,4,9,layer2.1.relu,0.501190185546875,0.501190185546875,0.27913936972618103,0.050201416015625,10.76517105102539,7.189209938049316,1.8048344850540161
resnet18,0,5,9,layer3.0.relu,0.503021240234375,0.503021240234375,0.22412480413913727,0.042724609375,10.092409133911133,7.426831245422363,2.100853204727173
resnet18,0,6,9,layer3.1.relu,0.500213623046875,0.500213623046875,0.17613179981708527,0.04351806640625,10.094090461730957,7.1788554191589355,1.7851537466049194
resnet18,0,7,9,layer4.0.relu,0.4976806640625,0.4976806640625,0.14199234545230865,0.0318603515625,9.42099380493164,7.379271030426025,2.0348219871520996
resnet18,0,8,9,layer4.1.relu,0.49615478515625,0.49615478515625,0.11709286272525787,0.03314208984375,9.415964126586914,7.137185096740723,1.749361276626587
resnet18,1,0,9,relu,0.9931854009628296,0.9931854009628296,0.7203307747840881,0.8502769470214844,,7.628173351287842,2.524627208709717
resnet18,1,1,9,layer1.0.relu,0.49849700927734375,0.49849700927734375,0.6345301270484924,0.0550079345703125,11.435565948486328,6.320601463317871,1.331449270248413
resnet18,1,2,9,layer1.1.relu,0.499908447265625,0.499908447265625,0.4345408082008362,0.0608062744140625,11.435808181762695,6.517983913421631,1.3937270641326904
