activation,group,order,mean_rho,std_rho,n_seeds,mean_delta,std_delta,mean_smoothness,std_smoothness,mean_final_acc
relu,A_hard_gated,0,-0.9756410256410257,0.007311065348401739,3,-0.13528745098039222,0.011388101137599076,0.24983928104241682,0.00011634837951800732,0.9254333333333333
leaky_relu_0.001,B_near_relu,1,-0.9735897435897436,0.010500305245868423,3,-0.12227725490196079,0.009523677093163983,0.24943232536315915,6.451888247437741e-05,0.9230666666666666
leaky_relu_0.01,B_near_relu,2,-0.9856410256410256,0.006169850982315818,3,-0.13702627450980392,0.022503919422818278,0.2446752985318502,0.0003641318425898127,0.9238
leaky_relu_0.05,B_near_relu,3,-0.967948717948718,0.02648359247933405,3,-0.13582588235294116,0.00929999985117389,0.22554856042067206,6.910666390332961e-05,0.9243666666666667
leaky_relu_0.10,B_near_relu,4,-0.9635897435897435,0.02081665999466133,3,-0.1257149019607844,0.006224527478441466,0.20245763659477234,5.1520645769126684e-05,0.9243333333333333
prelu,C_learnable,5,0.6469246859914891,0.013606914975179032,2,0.0627170588235294,0.03574715940513775,0.2609863057732582,0.03015500590161978,0.9213
softplus_beta50,D_softplus,6,-0.5882051282051283,0.15237242861480024,3,-0.07077803921568633,0.004552646491958079,0.2354028522968292,0.0014666762293321217,0.9287333333333333
softplus_beta20,D_softplus,7,0.7307692307692308,0.32565000997095467,3,0.017185882352941162,0.02479114598059436,0.2106601645549138,0.003147438953768788,0.9253333333333332
softplus_beta10,D_softplus,8,0.998974358974359,0.0004441155916843852,3,0.1112329411764706,0.005971322585960831,0.18528197705745694,0.0021776494172959966,0.9253999999999999
softplus_beta5,D_softplus,9,0.9984615384615384,0.0013323467750530195,3,0.09012313725490195,0.011138727685000658,0.12985329826672867,0.0033429224332110867,0.9170666666666666
gelu,E_fully_smooth,10,0.9963458517379009,0.0009997833481331056,3,0.05760705882352931,0.005177131909627911,0.12178057432174678,0.0024654393393762197,0.9247666666666666
silu,E_fully_smooth,11,0.9899999999999999,0.0053846153846154,3,0.049323137254902005,0.0035169451066950795,0.07491462429364516,0.002167211192271725,0.9156
mish,E_fully_smooth,12,0.9710866546815251,0.02126647023467683,3,0.042001568627451004,0.003132528375829028,0.0974660987655321,0.0017415127116790577,0.9180666666666667
