activation,seed,group,order,rho,p_value,active_frac_start,active_frac_end,delta_active_frac,relative_change,active_frac_001_start,active_frac_001_end,smoothness_index_var,final_test_acc,excluded_reason
relu,0,A_hard_gated,0,-0.9753846153846154,1.334036558572331e-16,0.5163435294117648,0.3758976470588235,-0.14044588235294125,-0.27200085670278806,0.5163435294117648,0.3758976470588235,0.2497329115867614,0.9259,
relu,1,A_hard_gated,0,-0.9684615384615385,2.2297552127453967e-15,0.513364705882353,0.3701811764705882,-0.14318352941176477,-0.2789119075992301,0.513364705882353,0.3701811764705882,0.2498213946819305,0.9275,
relu,2,A_hard_gated,0,-0.9830769230769232,1.8624534207767788e-18,0.4939694117647059,0.3717364705882353,-0.1222329411764706,-0.24745042560387165,0.4939694117647059,0.3717364705882353,0.2499635368585586,0.9229,
leaky_relu_0.001,0,B_near_relu,1,-0.9615384615384615,2.1118022912124257e-14,0.5067929411764706,0.3762411764705882,-0.13055176470588237,-0.25760375510128286,0.5067929411764706,0.3762411764705882,0.2494541406631469,0.9278,
leaky_relu_0.001,1,B_near_relu,1,-0.9807692307692308,8.010431737677673e-18,0.4958564705882353,0.3714435294117647,-0.12441294117647062,-0.25090514807415815,0.4958564705882353,0.3714435294117647,0.2494831085205078,0.9226,
leaky_relu_0.001,2,B_near_relu,1,-0.9784615384615385,2.915946302326839e-17,0.4881341176470588,0.3762670588235294,-0.11186705882352938,-0.22917279243409472,0.4881341176470588,0.3762670588235294,0.2493597269058227,0.9188,
leaky_relu_0.01,0,B_near_relu,2,-0.9792307692307692,1.9265215950049983e-17,0.5275188235294118,0.3779894117647059,-0.1495294117647059,-0.2834579641429021,0.5365035294117647,0.3898188235294118,0.2442827969789505,0.9274,
leaky_relu_0.01,1,B_near_relu,2,-0.9861538461538462,1.8808571836872485e-19,0.5170235294117647,0.3665211764705882,-0.15050235294117648,-0.29109381755296154,0.5260423529411765,0.3781976470588235,0.2447409778833389,0.9245,
leaky_relu_0.01,2,B_near_relu,2,-0.9915384615384615,6.700196385648687e-22,0.49516,0.3841129411764706,-0.11104705882352939,-0.22426500287488768,0.5047717647058824,0.3957305882352941,0.2450021207332611,0.9195,
leaky_relu_0.05,0,B_near_relu,3,-0.9792307692307692,1.9265215950049983e-17,0.5003364705882353,0.36552,-0.13481647058823526,-0.26945161608893775,1.0,1.0,0.2256248891353607,0.923,
leaky_relu_0.05,1,B_near_relu,3,-0.9376923076923077,4.8188683345529395e-12,0.5102305882352941,0.3646411764705882,-0.1455894117647059,-0.2853404227846234,1.0,1.0,0.2255305498838424,0.9279,
leaky_relu_0.05,2,B_near_relu,3,-0.9869230769230769,9.783800925602436e-20,0.4877788235294117,0.3607070588235294,-0.12707176470588233,-0.26051103200100334,1.0,1.0,0.2254902422428131,0.9222,
leaky_relu_0.10,0,B_near_relu,4,-0.9469230769230769,7.979727229407689e-13,0.5348494117647059,0.4156294117647058,-0.1192200000000001,-0.22290386298947276,1.0,1.0,0.2023981660604477,0.9226,
leaky_relu_0.10,1,B_near_relu,4,-0.9569230769230769,7.59986599013041e-14,0.5492941176470588,0.4176658823529411,-0.1316282352941177,-0.23963161276504616,1.0,1.0,0.2024860233068466,0.9252,
leaky_relu_0.10,2,B_near_relu,4,-0.9869230769230769,9.783800925602436e-20,0.5422047058823529,0.4159082352941176,-0.12629647058823534,-0.23293134349084577,1.0,1.0,0.2024887204170227,0.9252,
prelu,0,C_learnable,5,,,,,,,,,,0.1,training_failure
prelu,1,C_learnable,5,0.6373031441415112,0.000611792367806754,0.96256,1.0,0.03744000000000003,0.03889627659574471,1.0,1.0,0.2396634966135025,0.9251,
prelu,2,C_learnable,5,0.656546227841467,0.00036456322087652864,0.9120058823529412,1.0,0.08799411764705878,0.09648415580394858,1.0,1.0,0.2823091149330139,0.9175,
softplus_beta50,0,D_softplus,6,-0.43846153846153846,0.028346821628757173,0.5445435294117648,0.4742823529411765,-0.07026117647058827,-0.1290276583517334,0.5780811764705882,0.59018,0.2363970428705215,0.9274,
softplus_beta50,1,D_softplus,6,-0.5830769230769232,0.0022203297518509856,0.5480082352941177,0.4724411764705882,-0.07556705882352949,-0.13789402048487906,0.5894329411764706,0.5859023529411764,0.2337183952331543,0.9293,
softplus_beta50,2,D_softplus,6,-0.7430769230769232,2.0894462171582818e-05,0.5266741176470588,0.4601682352941176,-0.06650588235294125,-0.12627520533961187,0.5619282352941176,0.5831611764705882,0.2360931187868118,0.9295,
softplus_beta20,0,D_softplus,7,0.8576923076923076,4.288451672155826e-08,0.6048258823529412,0.6154823529411765,0.010656470588235267,0.017619071701724515,0.6900588235294117,0.8054917647058824,0.2124010175466537,0.9267,
softplus_beta20,1,D_softplus,7,0.36076923076923073,0.07644189053034321,0.6141058823529412,0.6104188235294118,-0.0036870588235293766,-0.0060039464357554174,0.7317752941176471,0.8103458823529411,0.207026869058609,0.9279,
softplus_beta20,2,D_softplus,7,0.9738461538461539,2.6588121817784246e-16,0.5910070588235294,0.635595294117647,0.044588235294117595,0.07544450549013042,0.6853435294117647,0.8260517647058824,0.2125526070594787,0.9214,
softplus_beta10,0,D_softplus,8,0.9992307692307693,7.349192018511945e-34,0.6686694117647058,0.7777376470588235,0.10906823529411769,0.163112344269304,0.82514,0.9357247058823528,0.1832812428474426,0.9236,
softplus_beta10,1,D_softplus,8,0.9984615384615384,2.120655725593475e-30,0.6678294117647059,0.774475294117647,0.10664588235294115,0.1596903048506575,0.8069894117647058,0.9374564705882352,0.1849632710218429,0.9258,
softplus_beta10,2,D_softplus,8,0.9992307692307693,7.349192018511945e-34,0.6530011764705882,0.7709858823529412,0.11798470588235299,0.18068069420647842,0.7962705882352941,0.9395247058823528,0.1876014173030853,0.9268,
softplus_beta5,0,D_softplus,9,0.9992307692307693,7.349192018511945e-34,0.8166588235294118,0.91944,0.10278117647058826,0.12585571049902045,0.9354258823529412,0.9870129411764704,0.1328519135713577,0.9098,
softplus_beta5,1,D_softplus,9,0.9992307692307693,7.349192018511945e-34,0.8273870588235294,0.9092058823529412,0.08181882352941183,0.09888820795160962,0.9398964705882352,0.9859941176470588,0.1262489110231399,0.9218,
softplus_beta5,2,D_softplus,9,0.9969230769230769,6.0965586816392176e-27,0.8193329411764706,0.9051023529411764,0.08576941176470576,0.10468200099650633,0.937849411764706,0.985890588235294,0.1304590702056884,0.9196,
gelu,0,E_fully_smooth,10,0.9969230769230769,6.0965586816392176e-27,0.8786435294117647,0.9310576470588235,0.05241411764705883,0.05965344976949764,0.983375294117647,0.9932341176470588,0.1190444752573967,0.9257,
gelu,1,E_fully_smooth,10,0.9969230769230769,6.0965586816392176e-27,0.87566,0.9332988235294116,0.05763882352941163,0.0658232916079433,0.9828776470588236,0.9934517647058824,0.1224676594138145,0.9259,
gelu,2,E_fully_smooth,10,0.995191401367549,1.0264028705608794e-24,0.871404705882353,0.9341729411764704,0.06276823529411746,0.07203109516210451,0.9840482352941176,0.993690588235294,0.1238295882940292,0.9227,
silu,0,E_fully_smooth,11,0.9938461538461538,1.739652623203686e-23,0.919230588235294,0.96836,0.04912941176470598,0.0534462325269472,0.9923682352941176,0.9971988235294118,0.0732228532433509,0.9147,
silu,1,E_fully_smooth,11,0.9923076923076923,2.247454300847923e-22,0.9159870588235294,0.96892,0.05293294117647063,0.05778787010861961,0.9923835294117648,0.9972976470588236,0.0773574560880661,0.9141,
silu,2,E_fully_smooth,11,0.9838461538461538,1.0948929238461648e-18,0.9256258823529412,0.9715329411764706,0.04590705882352941,0.0495956948684642,0.993570588235294,0.997409411764706,0.0741635635495185,0.918,
mish,0,E_fully_smooth,12,0.9938461538461538,1.739652623203686e-23,0.9232317647058824,0.9648811764705882,0.041649411764705824,0.04511262865611458,0.9919023529411763,0.9967329411764706,0.0968015864491462,0.919,
mish,1,E_fully_smooth,12,0.9676923076923077,2.9307149800231295e-15,0.9260588235294116,0.9651188235294118,0.039060000000000206,0.04217874610938218,0.9923564705882352,0.996615294117647,0.0961546748876571,0.919,
mish,2,E_fully_smooth,12,0.9517215025061136,2.7480849075441545e-13,0.9231976470588236,0.9684929411764706,0.04529529411764699,0.0490634852265399,0.9922129411764706,0.9969458823529412,0.099442034959793,0.9162,
