axis,num_layers,init,batch_size,n_seeds,vanish_rate
depth_init,1,default,32,10,1.00
depth_init,1,vit_paper,32,10,0.00
depth_init,2,default,32,10,1.00
depth_init,2,vit_paper,32,10,0.00
depth_init,4,default,32,10,1.00
depth_init,4,vit_paper,32,10,0.00
depth_init,6,default,32,10,1.00
depth_init,6,vit_paper,32,10,0.00
depth_init,8,default,32,10,1.00
depth_init,8,vit_paper,32,10,0.00
depth_init,10,default,32,10,1.00
depth_init,10,vit_paper,32,10,0.00
depth_init,12,default,32,10,1.00
depth_init,12,vit_paper,32,10,0.00
batch_size,12,default,4,10,1.00
batch_size,12,default,16,10,1.00
batch_size,12,default,32,10,1.00
