layer,mean_abs_gamma,mean_abs_beta,activation,seed,epoch
stem_bn,0.89078289270401,0.08768382668495178,gelu,0,0
stages.0.bn1,0.833890438079834,0.053932979702949524,gelu,0,0
stages.0.bn2,0.8223382234573364,0.039275556802749634,gelu,0,0
stages.1.bn1,0.8316267728805542,0.027974065393209457,gelu,0,0
stages.1.bn2,0.8072049617767334,0.025162875652313232,gelu,0,0
stages.2.bn1,0.826587438583374,0.013871477916836739,gelu,0,0
stages.2.bn2,0.8298078775405884,0.018962591886520386,gelu,0,0
stages.2.shortcut.1,0.8389735221862793,0.018962591886520386,gelu,0,0
stages.3.bn1,0.8248169422149658,0.009197844192385674,gelu,0,0
stages.3.bn2,0.8122174739837646,0.011282859370112419,gelu,0,0
stages.4.bn1,0.82601398229599,0.00833074003458023,gelu,0,0
stages.4.bn2,0.8257083892822266,0.013263363391160965,gelu,0,0
stages.4.shortcut.1,0.8327717781066895,0.013263363391160965,gelu,0,0
stages.5.bn1,0.8248803615570068,0.006237040273845196,gelu,0,0
stages.5.bn2,0.8210050463676453,0.008012338541448116,gelu,0,0
stages.6.bn1,0.8251543641090393,0.0032945519778877497,gelu,0,0
stages.6.bn2,0.8124463558197021,0.0329323410987854,gelu,0,0
stages.6.shortcut.1,0.8106764554977417,0.0329323410987854,gelu,0,0
stages.7.bn1,0.825210452079773,0.0053363679908216,gelu,0,0
stages.7.bn2,0.7930718660354614,0.06602267175912857,gelu,0,0
