Job ID: 11044075  Node: gilbreth-k050  Start: Thu Jun 18 18:34:58 EDT 2026
[train-dyn] device=cuda  archs=['resnet18', 'vgg11']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  0/25 train_acc=0.355 test_acc=0.454 active_frac=0.984 eff_rank=46.28 grad_norm=1.29 (65.6s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  1/25 train_acc=0.540 test_acc=0.531 active_frac=0.986 eff_rank=51.12 grad_norm=2.1 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  2/25 train_acc=0.650 test_acc=0.678 active_frac=0.987 eff_rank=53.87 grad_norm=1.86 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  3/25 train_acc=0.716 test_acc=0.703 active_frac=0.988 eff_rank=55.13 grad_norm=1.54 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  4/25 train_acc=0.765 test_acc=0.755 active_frac=0.989 eff_rank=55.68 grad_norm=1.48 (18.7s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  5/25 train_acc=0.793 test_acc=0.773 active_frac=0.990 eff_rank=56.09 grad_norm=1.77 (18.5s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  6/25 train_acc=0.811 test_acc=0.797 active_frac=0.991 eff_rank=55.96 grad_norm=1.58 (18.5s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  7/25 train_acc=0.825 test_acc=0.785 active_frac=0.992 eff_rank=56.51 grad_norm=1.81 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  8/25 train_acc=0.838 test_acc=0.830 active_frac=0.992 eff_rank=56.42 grad_norm=1.93 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch=  9/25 train_acc=0.850 test_acc=0.837 active_frac=0.992 eff_rank=56.33 grad_norm=2.12 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 10/25 train_acc=0.858 test_acc=0.838 active_frac=0.992 eff_rank=56.62 grad_norm=2.17 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 11/25 train_acc=0.868 test_acc=0.851 active_frac=0.993 eff_rank=56.26 grad_norm=2.21 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 12/25 train_acc=0.877 test_acc=0.867 active_frac=0.993 eff_rank=56.24 grad_norm=2.21 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 13/25 train_acc=0.887 test_acc=0.878 active_frac=0.993 eff_rank=56.62 grad_norm=2.22 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 14/25 train_acc=0.895 test_acc=0.863 active_frac=0.993 eff_rank=56.31 grad_norm=2.69 (18.5s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 15/25 train_acc=0.904 test_acc=0.887 active_frac=0.993 eff_rank=56.52 grad_norm=2.98 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 16/25 train_acc=0.914 test_acc=0.895 active_frac=0.993 eff_rank=56.32 grad_norm=3.46 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 17/25 train_acc=0.922 test_acc=0.894 active_frac=0.993 eff_rank=56.46 grad_norm=2.92 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 18/25 train_acc=0.933 test_acc=0.903 active_frac=0.993 eff_rank=56.50 grad_norm=3.44 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 19/25 train_acc=0.943 test_acc=0.912 active_frac=0.993 eff_rank=56.52 grad_norm=3.3 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 20/25 train_acc=0.952 test_acc=0.917 active_frac=0.993 eff_rank=56.59 grad_norm=3.78 (18.3s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 21/25 train_acc=0.960 test_acc=0.920 active_frac=0.993 eff_rank=56.66 grad_norm=4.26 (18.4s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 22/25 train_acc=0.968 test_acc=0.928 active_frac=0.993 eff_rank=56.77 grad_norm=4.48 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 23/25 train_acc=0.973 test_acc=0.927 active_frac=0.993 eff_rank=56.61 grad_norm=4.68 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 epoch= 24/25 train_acc=0.976 test_acc=0.928 active_frac=0.993 eff_rank=56.75 grad_norm=4.67 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=0 done in 8.5 min
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  0/25 train_acc=0.360 test_acc=0.470 active_frac=0.982 eff_rank=49.68 grad_norm=1.19 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  1/25 train_acc=0.536 test_acc=0.579 active_frac=0.984 eff_rank=53.13 grad_norm=1.48 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  2/25 train_acc=0.645 test_acc=0.685 active_frac=0.986 eff_rank=54.91 grad_norm=1.8 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  3/25 train_acc=0.708 test_acc=0.733 active_frac=0.988 eff_rank=55.78 grad_norm=1.44 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  4/25 train_acc=0.759 test_acc=0.757 active_frac=0.989 eff_rank=56.04 grad_norm=1.41 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  5/25 train_acc=0.791 test_acc=0.749 active_frac=0.991 eff_rank=56.22 grad_norm=1.84 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  6/25 train_acc=0.806 test_acc=0.789 active_frac=0.991 eff_rank=56.38 grad_norm=1.73 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  7/25 train_acc=0.823 test_acc=0.803 active_frac=0.992 eff_rank=56.40 grad_norm=2.06 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  8/25 train_acc=0.839 test_acc=0.836 active_frac=0.992 eff_rank=56.37 grad_norm=1.86 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch=  9/25 train_acc=0.844 test_acc=0.833 active_frac=0.993 eff_rank=56.66 grad_norm=1.95 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 10/25 train_acc=0.857 test_acc=0.849 active_frac=0.993 eff_rank=56.66 grad_norm=2.11 (18.2s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 11/25 train_acc=0.869 test_acc=0.852 active_frac=0.993 eff_rank=56.34 grad_norm=2.47 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 12/25 train_acc=0.876 test_acc=0.858 active_frac=0.993 eff_rank=56.66 grad_norm=2.68 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 13/25 train_acc=0.885 test_acc=0.868 active_frac=0.993 eff_rank=56.53 grad_norm=2.3 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 14/25 train_acc=0.896 test_acc=0.875 active_frac=0.993 eff_rank=56.62 grad_norm=2.63 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 15/25 train_acc=0.904 test_acc=0.881 active_frac=0.993 eff_rank=56.52 grad_norm=2.87 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 16/25 train_acc=0.911 test_acc=0.881 active_frac=0.993 eff_rank=56.69 grad_norm=2.71 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 17/25 train_acc=0.922 test_acc=0.893 active_frac=0.993 eff_rank=56.67 grad_norm=3.53 (18.1s)
[train-dyn] resnet18(gelu)/cifar10 seed=1 epoch= 18/25 train_acc=0.933 test_acc=0.907 active_frac=0.993 eff_rank=56.58 grad_norm=3.39 (18.1s)
