Job ID: 11081162  Node: gilbreth-i003  Start: Sun Jun 21 14:50:18 EDT 2026
extraction_done.marker present, skipping extraction
Extraction step complete at Sun Jun 21 14:50:18 EDT 2026
[cache] train: 5000 images, 66.8s elapsed
[cache] train: 10000 images, 143.4s elapsed
[cache] train: 15000 images, 218.6s elapsed
[cache] train: 20000 images, 303.0s elapsed
[cache] train: 25000 images, 391.0s elapsed
[cache] train: 30000 images, 467.8s elapsed
[cache] train: 35000 images, 572.2s elapsed
[cache] train: 40000 images, 668.9s elapsed
[cache] train: 45000 images, 756.4s elapsed
[cache] train: 50000 images, 864.7s elapsed
[cache] train: done, 54750 images, shape torch.Size([54750, 3, 144, 144]), 3.41GB, 968.5s total
[cache] wrote /scratch/gilbreth/aelmersa/places365/cache/train_cache.pt
[cache] val: 5000 images, 94.9s elapsed
[cache] val: done, 7300 images, shape torch.Size([7300, 3, 144, 144]), 0.45GB, 143.7s total
[cache] wrote /scratch/gilbreth/aelmersa/places365/cache/val_cache.pt
Cache step complete at Sun Jun 21 15:11:35 EDT 2026
[places-dyn] device=cuda activations=['relu', 'gelu', 'silu', 'mish'] optimizer=sgd lr=0.1 seeds=[0, 1] epochs=25 samples_per_class_train=150 img_size=96 cache_dir=/scratch/gilbreth/aelmersa/places365/cache
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  0/25 train_acc=0.004 test_acc=0.005 active_frac=0.554 eff_rank=30.73 (230.3s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  1/25 train_acc=0.016 test_acc=0.023 active_frac=0.535 eff_rank=38.18 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  2/25 train_acc=0.036 test_acc=0.052 active_frac=0.534 eff_rank=41.30 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  3/25 train_acc=0.064 test_acc=0.080 active_frac=0.533 eff_rank=44.82 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  4/25 train_acc=0.091 test_acc=0.093 active_frac=0.527 eff_rank=46.53 (179.9s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  5/25 train_acc=0.118 test_acc=0.122 active_frac=0.518 eff_rank=47.06 (181.8s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  6/25 train_acc=0.142 test_acc=0.145 active_frac=0.512 eff_rank=49.04 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  7/25 train_acc=0.165 test_acc=0.158 active_frac=0.503 eff_rank=50.13 (179.7s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  8/25 train_acc=0.187 test_acc=0.172 active_frac=0.493 eff_rank=49.98 (179.7s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch=  9/25 train_acc=0.204 test_acc=0.170 active_frac=0.488 eff_rank=51.25 (179.6s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 10/25 train_acc=0.222 test_acc=0.201 active_frac=0.484 eff_rank=51.43 (179.9s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 11/25 train_acc=0.240 test_acc=0.187 active_frac=0.479 eff_rank=52.27 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 12/25 train_acc=0.259 test_acc=0.189 active_frac=0.474 eff_rank=52.37 (179.6s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 13/25 train_acc=0.280 test_acc=0.232 active_frac=0.474 eff_rank=52.42 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 14/25 train_acc=0.296 test_acc=0.246 active_frac=0.472 eff_rank=52.68 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 15/25 train_acc=0.312 test_acc=0.246 active_frac=0.470 eff_rank=52.76 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 16/25 train_acc=0.335 test_acc=0.269 active_frac=0.471 eff_rank=52.97 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 17/25 train_acc=0.354 test_acc=0.295 active_frac=0.469 eff_rank=53.03 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 18/25 train_acc=0.380 test_acc=0.311 active_frac=0.469 eff_rank=52.99 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 19/25 train_acc=0.403 test_acc=0.316 active_frac=0.469 eff_rank=53.17 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 20/25 train_acc=0.431 test_acc=0.326 active_frac=0.470 eff_rank=53.27 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 21/25 train_acc=0.456 test_acc=0.342 active_frac=0.470 eff_rank=53.34 (193.0s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 22/25 train_acc=0.485 test_acc=0.352 active_frac=0.471 eff_rank=53.43 (189.6s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 23/25 train_acc=0.505 test_acc=0.356 active_frac=0.471 eff_rank=53.51 (179.9s)
[places-dyn] resnet50(relu,sgd) seed=0 epoch= 24/25 train_acc=0.519 test_acc=0.361 active_frac=0.471 eff_rank=53.47 (180.6s)
[places-dyn] relu seed=0 done in 76.2 min
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  0/25 train_acc=0.004 test_acc=0.007 active_frac=0.547 eff_rank=27.94 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  1/25 train_acc=0.010 test_acc=0.014 active_frac=0.534 eff_rank=32.93 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  2/25 train_acc=0.017 test_acc=0.022 active_frac=0.532 eff_rank=40.40 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  3/25 train_acc=0.030 test_acc=0.034 active_frac=0.534 eff_rank=43.31 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  4/25 train_acc=0.050 test_acc=0.063 active_frac=0.531 eff_rank=46.64 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  5/25 train_acc=0.078 test_acc=0.088 active_frac=0.527 eff_rank=48.60 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  6/25 train_acc=0.106 test_acc=0.117 active_frac=0.519 eff_rank=50.34 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  7/25 train_acc=0.134 test_acc=0.132 active_frac=0.510 eff_rank=51.06 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  8/25 train_acc=0.158 test_acc=0.140 active_frac=0.503 eff_rank=50.54 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch=  9/25 train_acc=0.178 test_acc=0.162 active_frac=0.498 eff_rank=51.67 (179.5s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 10/25 train_acc=0.198 test_acc=0.182 active_frac=0.494 eff_rank=51.81 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 11/25 train_acc=0.217 test_acc=0.185 active_frac=0.490 eff_rank=52.22 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 12/25 train_acc=0.236 test_acc=0.207 active_frac=0.488 eff_rank=52.51 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 13/25 train_acc=0.254 test_acc=0.218 active_frac=0.485 eff_rank=52.47 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 14/25 train_acc=0.273 test_acc=0.228 active_frac=0.484 eff_rank=52.66 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 15/25 train_acc=0.289 test_acc=0.228 active_frac=0.484 eff_rank=52.69 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 16/25 train_acc=0.311 test_acc=0.261 active_frac=0.481 eff_rank=52.64 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 17/25 train_acc=0.333 test_acc=0.263 active_frac=0.480 eff_rank=53.05 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 18/25 train_acc=0.354 test_acc=0.281 active_frac=0.479 eff_rank=53.38 (195.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 19/25 train_acc=0.382 test_acc=0.296 active_frac=0.478 eff_rank=53.21 (179.4s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 20/25 train_acc=0.406 test_acc=0.315 active_frac=0.479 eff_rank=53.31 (179.3s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 21/25 train_acc=0.433 test_acc=0.322 active_frac=0.479 eff_rank=53.51 (189.5s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 22/25 train_acc=0.457 test_acc=0.339 active_frac=0.480 eff_rank=53.27 (179.0s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 23/25 train_acc=0.479 test_acc=0.347 active_frac=0.480 eff_rank=53.48 (179.2s)
[places-dyn] resnet50(relu,sgd) seed=1 epoch= 24/25 train_acc=0.491 test_acc=0.349 active_frac=0.480 eff_rank=53.58 (179.1s)
[places-dyn] relu seed=1 done in 75.3 min
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  0/25 train_acc=0.006 test_acc=0.010 active_frac=0.988 eff_rank=28.28 (180.9s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  1/25 train_acc=0.012 test_acc=0.011 active_frac=0.991 eff_rank=32.67 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  2/25 train_acc=0.022 test_acc=0.031 active_frac=0.994 eff_rank=37.08 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  3/25 train_acc=0.035 test_acc=0.036 active_frac=0.996 eff_rank=39.48 (180.3s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  4/25 train_acc=0.056 test_acc=0.062 active_frac=0.997 eff_rank=42.11 (180.4s)
[places-dyn] resnet50(gelu,sgd) seed=0 epoch=  5/25 train_acc=0.077 test_acc=0.072 active_frac=0.998 eff_rank=44.81 (180.4s)
