========================================
Job ID       : 11039609
Node         : gilbreth-k043
GPU          : NVIDIA A100 80GB PCIe, 81920 MiB
Start time   : Thu Jun 18 04:25:35 EDT 2026
========================================

Dataset check (already pre-downloaded to ./data on the login node,
shared over /home — compute nodes may not have outbound internet):
total 331459
drwxr-xr-x 4 aelmersa student         6 Jun 18 03:35 .
drwxr-xr-x 9 aelmersa student        17 Jun 18 04:25 ..
drwxr-xr-x 2 aelmersa student        10 Jun  4  2009 cifar-10-batches-py
-rw-r--r-- 1 aelmersa student 170498071 Jun 18 03:33 cifar-10-python.tar.gz
drwxr-xr-x 2 aelmersa student         6 Feb 19  2010 cifar-100-python
-rw-r--r-- 1 aelmersa student 169001437 Jun 18 03:35 cifar-100-python.tar.gz

========================================
Running training-dynamics sweep (Phase 4)
========================================
[train-dyn] device=cuda  archs=['resnet18', 'resnet50', 'vgg11', 'vit_b_16', 'convnext_tiny']  datasets=['cifar10', 'cifar100']  seeds=[0, 1, 2]  epochs=25
[train-dyn] resnet18/cifar10 seed=0 epoch=  0/25 test_acc=0.439 active_frac=0.512 eff_rank=41.11 (39.6s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  1/25 test_acc=0.513 active_frac=0.507 eff_rank=46.19 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  2/25 test_acc=0.610 active_frac=0.496 eff_rank=49.74 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  3/25 test_acc=0.619 active_frac=0.483 eff_rank=51.40 (15.1s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  4/25 test_acc=0.714 active_frac=0.470 eff_rank=52.85 (15.1s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  5/25 test_acc=0.710 active_frac=0.454 eff_rank=53.62 (15.2s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  6/25 test_acc=0.768 active_frac=0.433 eff_rank=53.78 (15.2s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  7/25 test_acc=0.751 active_frac=0.422 eff_rank=54.19 (15.1s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  8/25 test_acc=0.800 active_frac=0.404 eff_rank=54.42 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch=  9/25 test_acc=0.782 active_frac=0.397 eff_rank=54.39 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 10/25 test_acc=0.819 active_frac=0.396 eff_rank=54.51 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 11/25 test_acc=0.835 active_frac=0.389 eff_rank=54.47 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 12/25 test_acc=0.823 active_frac=0.387 eff_rank=54.52 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 13/25 test_acc=0.850 active_frac=0.382 eff_rank=54.64 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 14/25 test_acc=0.837 active_frac=0.379 eff_rank=54.78 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 15/25 test_acc=0.870 active_frac=0.380 eff_rank=54.73 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 16/25 test_acc=0.884 active_frac=0.377 eff_rank=54.81 (15.4s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 17/25 test_acc=0.883 active_frac=0.374 eff_rank=54.86 (15.3s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 18/25 test_acc=0.898 active_frac=0.373 eff_rank=54.91 (15.2s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 19/25 test_acc=0.909 active_frac=0.373 eff_rank=54.97 (15.1s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 20/25 test_acc=0.910 active_frac=0.372 eff_rank=55.01 (15.2s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 21/25 test_acc=0.918 active_frac=0.372 eff_rank=55.02 (15.0s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 22/25 test_acc=0.922 active_frac=0.371 eff_rank=55.30 (15.1s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 23/25 test_acc=0.923 active_frac=0.371 eff_rank=55.06 (15.0s)
[train-dyn] resnet18/cifar10 seed=0 epoch= 24/25 test_acc=0.925 active_frac=0.371 eff_rank=55.15 (15.1s)
[train-dyn] resnet18/cifar10 seed=0 done in 6.8 min
